Timestamp: 1647980695.1986196, Acceleration: ['-0.40', ' 0.02', ' 9.84'], Velocity: ['-0.09', ' 0.00', ' 0.01'], Position: ['-0.03', ' 0.00', ' 0.00'] 
Timestamp: 1647980695.2058835, Acceleration: ['-0.38', ' 0.05', ' 9.99'], Velocity: ['-0.00', ' 0.00', ' 0.00'], Position: ['-0.03', ' 0.00', ' 0.00'] 
Timestamp: 1647980695.2125795, Acceleration: ['-0.56', ' 0.01', ' 9.83'], Velocity: ['-0.00', ' 0.00', ' 0.00'], Position: ['-0.03', ' 0.00', ' 0.00'] 
Timestamp: 1647980695.2223675, Acceleration: ['-0.39', ' 0.05', ' 9.74'], Velocity: ['-0.00', ' 0.00', '-0.00'], Position: ['-0.03', ' 0.00', ' 0.00'] 
Timestamp: 1647980695.233425, Acceleration: ['-0.38', ' 0.12', ' 9.91'], Velocity: ['-0.00', ' 0.00', ' 0.00'], Position: ['-0.03', ' 0.00', ' 0.00'] 
Timestamp: 1647980695.2418702, Acceleration: ['-0.45', ' 0.05', ' 9.83'], Velocity: ['-0.00', ' 0.00', ' 0.00'], Position: ['-0.03', ' 0.00', ' 0.00'] 
Timestamp: 1647980695.2522528, Acceleration: ['-0.40', '-0.00', ' 9.82'], Velocity: ['-0.00', '-0.00', ' 0.00'], Position: ['-0.03', ' 0.00', ' 0.00'] 
Timestamp: 1647980695.2629426, Acceleration: ['-0.39', ' 0.03', ' 9.72'], Velocity: ['-0.00', ' 0.00', '-0.00'], Position: ['-0.03', ' 0.00', ' 0.00'] 
Timestamp: 1647980695.2719407, Acceleration: ['-0.30', '-0.33', '10.25'], Velocity: ['-0.00', '-0.00', ' 0.00'], Position: ['-0.03', ' 0.00', ' 0.00'] 
Timestamp: 1647980695.2826688, Acceleration: ['-0.41', ' 0.03', ' 5.05'], Velocity: ['-0.00', ' 0.00', '-0.05'], Position: ['-0.03', ' 0.00', ' 0.00'] 
Timestamp: 1647980695.2920816, Acceleration: ['-0.53', ' 0.09', ' 7.58'], Velocity: ['-0.00', ' 0.00', '-0.02'], Position: ['-0.03', ' 0.00', ' 0.00'] 
Timestamp: 1647980695.302533, Acceleration: ['-0.49', ' 0.00', ' 8.89'], Velocity: ['-0.01', ' 0.00', '-0.01'], Position: ['-0.03', ' 0.00', ' 0.00'] 
Timestamp: 1647980695.3119063, Acceleration: ['-0.19', '-0.07', ' 8.56'], Velocity: ['-0.00', '-0.00', '-0.01'], Position: ['-0.03', ' 0.00', ' 0.00'] 
Timestamp: 1647980695.3221724, Acceleration: ['-0.38', ' 0.11', ' 9.02'], Velocity: ['-0.00', ' 0.00', '-0.01'], Position: ['-0.03', ' 0.00', ' 0.00'] 
Timestamp: 1647980695.3319385, Acceleration: ['-0.14', ' 0.08', ' 9.39'], Velocity: ['-0.01', ' 0.00', '-0.01'], Position: ['-0.03', ' 0.00', ' 0.00'] 
Timestamp: 1647980695.342451, Acceleration: ['-0.36', ' 0.10', '10.27'], Velocity: ['-0.01', ' 0.00', '-0.01'], Position: ['-0.03', ' 0.00', ' 0.00'] 
Timestamp: 1647980695.352002, Acceleration: ['-0.29', ' 0.09', '10.13'], Velocity: ['-0.01', ' 0.00', '-0.00'], Position: ['-0.03', ' 0.00', ' 0.00'] 
Timestamp: 1647980695.3619611, Acceleration: ['-0.30', '-0.11', '10.05'], Velocity: ['-0.01', ' 0.00', '-0.00'], Position: ['-0.03', ' 0.00', ' 0.00'] 
Timestamp: 1647980695.3722556, Acceleration: ['-0.39', '-0.04', ' 9.94'], Velocity: ['-0.02', ' 0.00', '-0.00'], Position: ['-0.03', ' 0.00', ' 0.00'] 
Timestamp: 1647980695.3819497, Acceleration: ['-0.51', '-0.04', '10.01'], Velocity: ['-0.02', ' 0.00', ' 0.00'], Position: ['-0.03', ' 0.00', ' 0.00'] 
Timestamp: 1647980695.3919203, Acceleration: ['-0.40', ' 0.13', ' 9.72'], Velocity: ['-0.03', ' 0.00', ' 0.00'], Position: ['-0.03', ' 0.00', ' 0.00'] 
Timestamp: 1647980695.402002, Acceleration: ['-0.40', ' 0.08', ' 9.83'], Velocity: ['-0.03', ' 0.00', ' 0.00'], Position: ['-0.03', ' 0.00', ' 0.00'] 
Timestamp: 1647980695.4118772, Acceleration: ['-0.55', ' 0.02', ' 9.74'], Velocity: ['-0.04', ' 0.00', ' 0.00'], Position: ['-0.03', ' 0.00', ' 0.00'] 
Timestamp: 1647980695.4221208, Acceleration: ['-0.43', '-0.01', ' 9.85'], Velocity: ['-0.04', ' 0.00', ' 0.00'], Position: ['-0.03', ' 0.00', ' 0.00'] 
Timestamp: 1647980695.4322598, Acceleration: ['-0.35', '-0.05', ' 9.85'], Velocity: ['-0.05', ' 0.00', ' 0.00'], Position: ['-0.03', ' 0.00', ' 0.00'] 
Timestamp: 1647980695.4419682, Acceleration: ['-0.37', ' 0.03', ' 9.70'], Velocity: ['-0.00', ' 0.00', '-0.00'], Position: ['-0.03', ' 0.00', ' 0.00'] 
Timestamp: 1647980695.4521139, Acceleration: ['-0.30', '-0.26', ' 9.76'], Velocity: ['-0.00', '-0.00', '-0.00'], Position: ['-0.03', ' 0.00', ' 0.00'] 
Timestamp: 1647980695.4619522, Acceleration: ['-0.73', '-0.19', ' 9.01'], Velocity: ['-0.01', '-0.00', '-0.01'], Position: ['-0.03', ' 0.00', ' 0.00'] 
Timestamp: 1647980695.4721558, Acceleration: ['-0.80', '-0.27', ' 9.79'], Velocity: ['-0.01', '-0.00', '-0.00'], Position: ['-0.03', ' 0.00', ' 0.00'] 
Timestamp: 1647980695.4820437, Acceleration: ['-0.99', '-0.24', ' 8.10'], Velocity: ['-0.01', '-0.00', '-0.02'], Position: ['-0.03', ' 0.00', ' 0.00'] 
Timestamp: 1647980695.4920497, Acceleration: ['-0.58', '-0.12', ' 9.04'], Velocity: ['-0.01', '-0.00', '-0.01'], Position: ['-0.03', ' 0.00', ' 0.00'] 
Timestamp: 1647980695.5020783, Acceleration: ['-0.52', ' 0.03', ' 8.83'], Velocity: ['-0.01', ' 0.00', '-0.01'], Position: ['-0.03', ' 0.00', '-0.00'] 
Timestamp: 1647980695.511912, Acceleration: ['-0.44', ' 0.15', ' 9.08'], Velocity: ['-0.00', ' 0.00', '-0.01'], Position: ['-0.03', ' 0.00', '-0.00'] 
Timestamp: 1647980695.5219445, Acceleration: ['-0.25', ' 0.01', ' 9.78'], Velocity: ['-0.00', ' 0.00', '-0.00'], Position: ['-0.03', ' 0.00', '-0.00'] 
Timestamp: 1647980695.5319548, Acceleration: ['-0.24', '-0.11', ' 9.72'], Velocity: ['-0.00', '-0.00', '-0.00'], Position: ['-0.03', ' 0.00', '-0.00'] 
Timestamp: 1647980695.542252, Acceleration: ['-0.27', '-0.04', ' 9.88'], Velocity: ['-0.00', '-0.00', ' 0.00'], Position: ['-0.03', ' 0.00', '-0.00'] 
Timestamp: 1647980695.5520084, Acceleration: ['-0.33', '-0.05', ' 9.90'], Velocity: ['-0.00', '-0.00', ' 0.00'], Position: ['-0.03', ' 0.00', '-0.00'] 
Timestamp: 1647980695.5619457, Acceleration: ['-0.32', '-0.08', ' 9.96'], Velocity: ['-0.00', '-0.00', ' 0.00'], Position: ['-0.03', ' 0.00', '-0.00'] 
Timestamp: 1647980695.5719566, Acceleration: ['-0.35', ' 0.03', ' 9.88'], Velocity: ['-0.00', ' 0.00', ' 0.00'], Position: ['-0.03', ' 0.00', '-0.00'] 
Timestamp: 1647980695.5819535, Acceleration: ['-0.38', ' 0.11', ' 9.96'], Velocity: ['-0.00', ' 0.00', ' 0.00'], Position: ['-0.03', ' 0.00', '-0.00'] 
Timestamp: 1647980695.5922513, Acceleration: ['-0.36', ' 0.07', ' 9.85'], Velocity: ['-0.00', ' 0.00', ' 0.00'], Position: ['-0.03', ' 0.00', '-0.00'] 
Timestamp: 1647980695.6023545, Acceleration: ['-0.49', ' 0.01', ' 9.78'], Velocity: ['-0.00', ' 0.00', '-0.00'], Position: ['-0.03', ' 0.00', '-0.00'] 
Timestamp: 1647980695.6119535, Acceleration: ['-0.36', '-0.00', ' 9.75'], Velocity: ['-0.00', '-0.00', '-0.00'], Position: ['-0.03', ' 0.00', '-0.00'] 
Timestamp: 1647980695.6219683, Acceleration: ['-0.38', ' 0.12', ' 9.85'], Velocity: ['-0.00', ' 0.00', ' 0.00'], Position: ['-0.03', ' 0.00', '-0.00'] 
Timestamp: 1647980695.6318133, Acceleration: ['-0.35', ' 0.06', ' 9.89'], Velocity: ['-0.00', ' 0.00', ' 0.00'], Position: ['-0.03', ' 0.00', '-0.00'] 
Timestamp: 1647980695.6421456, Acceleration: ['-0.31', ' 0.04', ' 9.90'], Velocity: ['-0.00', ' 0.00', ' 0.00'], Position: ['-0.03', ' 0.00', '-0.00'] 
Timestamp: 1647980695.6518567, Acceleration: ['-0.33', '-0.01', ' 9.81'], Velocity: ['-0.00', '-0.00', '-0.00'], Position: ['-0.03', ' 0.00', '-0.00'] 
Timestamp: 1647980695.6620502, Acceleration: ['-0.39', '-0.03', ' 9.84'], Velocity: ['-0.00', '-0.00', ' 0.00'], Position: ['-0.03', ' 0.00', '-0.00'] 
