Timestamp: 1647980840.1911206, Acceleration: [' 0.08', ' 0.25', ' 9.86'], Velocity: [' 0.02', ' 0.05', ' 0.01'], Position: [' 0.01', ' 0.02', ' 0.00'] 
Timestamp: 1647980840.198201, Acceleration: [' 0.07', ' 0.28', ' 9.86'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.01', ' 0.02', ' 0.00'] 
Timestamp: 1647980840.2046182, Acceleration: [' 0.15', ' 0.12', ' 9.66'], Velocity: [' 0.00', ' 0.00', '-0.00'], Position: [' 0.01', ' 0.02', ' 0.00'] 
Timestamp: 1647980840.214523, Acceleration: [' 0.11', ' 0.18', ' 9.71'], Velocity: [' 0.00', ' 0.00', '-0.00'], Position: [' 0.01', ' 0.02', ' 0.00'] 
Timestamp: 1647980840.2251124, Acceleration: [' 0.03', ' 0.41', ' 9.84'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.01', ' 0.02', ' 0.00'] 
Timestamp: 1647980840.2345154, Acceleration: [' 0.06', ' 0.25', ' 9.77'], Velocity: [' 0.00', ' 0.00', '-0.00'], Position: [' 0.01', ' 0.02', ' 0.00'] 
Timestamp: 1647980840.244725, Acceleration: [' 0.05', ' 0.12', ' 9.59'], Velocity: [' 0.00', ' 0.00', '-0.00'], Position: [' 0.01', ' 0.02', ' 0.00'] 
Timestamp: 1647980840.2547543, Acceleration: [' 0.10', ' 0.13', ' 9.69'], Velocity: [' 0.00', ' 0.00', '-0.00'], Position: [' 0.01', ' 0.02', ' 0.00'] 
Timestamp: 1647980840.264547, Acceleration: [' 0.06', ' 0.26', ' 9.68'], Velocity: [' 0.00', ' 0.00', '-0.00'], Position: [' 0.01', ' 0.02', ' 0.00'] 
Timestamp: 1647980840.274636, Acceleration: [' 0.03', ' 0.30', ' 9.80'], Velocity: [' 0.00', ' 0.00', '-0.00'], Position: [' 0.01', ' 0.02', ' 0.00'] 
Timestamp: 1647980840.2846549, Acceleration: ['-0.03', ' 0.28', ' 9.79'], Velocity: ['-0.00', ' 0.00', '-0.00'], Position: [' 0.01', ' 0.02', ' 0.00'] 
Timestamp: 1647980840.294637, Acceleration: [' 0.04', ' 0.13', ' 9.59'], Velocity: [' 0.00', ' 0.00', '-0.00'], Position: [' 0.01', ' 0.02', ' 0.00'] 
Timestamp: 1647980840.3047278, Acceleration: [' 0.05', ' 0.23', ' 9.70'], Velocity: [' 0.00', ' 0.00', '-0.00'], Position: [' 0.01', ' 0.02', ' 0.00'] 
Timestamp: 1647980840.3147051, Acceleration: [' 0.01', ' 0.20', ' 9.75'], Velocity: [' 0.00', ' 0.00', '-0.00'], Position: [' 0.01', ' 0.02', ' 0.00'] 
Timestamp: 1647980840.3245835, Acceleration: [' 0.04', ' 0.23', ' 9.72'], Velocity: [' 0.00', ' 0.00', '-0.00'], Position: [' 0.01', ' 0.02', ' 0.00'] 
Timestamp: 1647980840.3347185, Acceleration: [' 0.02', ' 0.20', ' 9.71'], Velocity: [' 0.00', ' 0.00', '-0.00'], Position: [' 0.01', ' 0.02', ' 0.00'] 
Timestamp: 1647980840.3446112, Acceleration: [' 0.03', ' 0.10', ' 9.57'], Velocity: [' 0.00', ' 0.00', '-0.00'], Position: [' 0.01', ' 0.02', ' 0.00'] 
Timestamp: 1647980840.3545704, Acceleration: [' 0.10', ' 0.18', ' 9.70'], Velocity: [' 0.00', ' 0.00', '-0.00'], Position: [' 0.01', ' 0.02', ' 0.00'] 
Timestamp: 1647980840.3646717, Acceleration: [' 0.00', ' 0.23', ' 9.79'], Velocity: [' 0.00', ' 0.00', '-0.00'], Position: [' 0.01', ' 0.02', ' 0.00'] 
Timestamp: 1647980840.3746243, Acceleration: [' 0.01', ' 0.22', ' 9.83'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.01', ' 0.02', ' 0.00'] 
Timestamp: 1647980840.384614, Acceleration: [' 0.06', ' 0.22', ' 9.76'], Velocity: [' 0.00', ' 0.00', '-0.00'], Position: [' 0.01', ' 0.02', ' 0.00'] 
Timestamp: 1647980840.394662, Acceleration: [' 0.04', ' 0.18', ' 9.73'], Velocity: [' 0.00', ' 0.00', '-0.00'], Position: [' 0.01', ' 0.02', ' 0.00'] 
Timestamp: 1647980840.404661, Acceleration: [' 0.09', ' 0.22', ' 9.58'], Velocity: [' 0.00', ' 0.00', '-0.00'], Position: [' 0.01', ' 0.02', ' 0.00'] 
Timestamp: 1647980840.4146137, Acceleration: [' 0.06', ' 0.24', ' 9.76'], Velocity: [' 0.00', ' 0.00', '-0.00'], Position: [' 0.01', ' 0.02', ' 0.00'] 
Timestamp: 1647980840.4246483, Acceleration: [' 0.07', ' 0.31', ' 9.78'], Velocity: [' 0.00', ' 0.00', '-0.00'], Position: [' 0.01', ' 0.02', ' 0.00'] 
Timestamp: 1647980840.4345455, Acceleration: [' 0.02', ' 0.23', ' 9.77'], Velocity: [' 0.00', ' 0.00', '-0.00'], Position: [' 0.01', ' 0.02', ' 0.00'] 
Timestamp: 1647980840.4446135, Acceleration: [' 0.03', ' 0.19', ' 9.77'], Velocity: [' 0.00', ' 0.00', '-0.00'], Position: [' 0.01', ' 0.02', ' 0.00'] 
Timestamp: 1647980840.4545782, Acceleration: [' 0.10', ' 0.03', ' 9.70'], Velocity: [' 0.00', ' 0.00', '-0.00'], Position: [' 0.01', ' 0.02', ' 0.00'] 
