Timestamp: 1652804042.8921673, Acceleration: ['-0.04', ' 0.27', ' 0.75'], Velocity: ['-0.01', ' 0.07', '-2.33'], Position: ['-0.00', ' 0.03', '-0.90'] 
Timestamp: 1652804042.899332, Acceleration: [' 0.17', ' 0.40', ' 0.85'], Velocity: ['-0.01', ' 0.07', '-2.39'], Position: ['-0.00', ' 0.03', '-0.92'] 
Timestamp: 1652804042.909315, Acceleration: [' 0.14', ' 0.38', ' 0.83'], Velocity: ['-0.01', ' 0.08', '-2.48'], Position: ['-0.00', ' 0.03', '-0.94'] 
Timestamp: 1652804042.9156647, Acceleration: [' 0.09', ' 0.39', ' 0.96'], Velocity: ['-0.01', ' 0.08', '-2.54'], Position: ['-0.00', ' 0.03', '-0.96'] 
Timestamp: 1652804042.9361012, Acceleration: [' 0.13', ' 0.40', ' 0.97'], Velocity: ['-0.00', ' 0.09', '-2.72'], Position: ['-0.00', ' 0.03', '-1.02'] 
Timestamp: 1652804042.943174, Acceleration: ['-0.10', ' 0.20', ' 0.84'], Velocity: ['-0.01', ' 0.09', '-2.78'], Position: ['-0.00', ' 0.03', '-1.04'] 
Timestamp: 1652804042.9504595, Acceleration: ['-0.03', ' 0.29', ' 0.67'], Velocity: ['-0.01', ' 0.09', '-2.85'], Position: ['-0.00', ' 0.03', '-1.06'] 
Timestamp: 1652804042.959272, Acceleration: ['-0.01', ' 0.52', ' 0.84'], Velocity: ['-0.01', ' 0.09', '-2.93'], Position: ['-0.00', ' 0.03', '-1.08'] 
Timestamp: 1652804042.9662936, Acceleration: [' 0.13', ' 0.44', ' 0.87'], Velocity: ['-0.00', ' 0.10', '-2.99'], Position: ['-0.00', ' 0.03', '-1.10'] 
Timestamp: 1652804042.9770658, Acceleration: [' 0.19', ' 0.39', ' 0.75'], Velocity: ['-0.00', ' 0.10', '-3.09'], Position: ['-0.00', ' 0.03', '-1.14'] 
Timestamp: 1652804042.9859881, Acceleration: [' 0.26', ' 0.48', ' 0.90'], Velocity: ['-0.00', ' 0.11', '-3.17'], Position: ['-0.00', ' 0.04', '-1.17'] 
Timestamp: 1652804042.9958613, Acceleration: [' 0.24', ' 0.37', ' 0.90'], Velocity: [' 0.00', ' 0.11', '-3.26'], Position: ['-0.00', ' 0.04', '-1.20'] 
Timestamp: 1652804043.006108, Acceleration: [' 0.18', ' 0.40', ' 0.72'], Velocity: [' 0.00', ' 0.11', '-3.35'], Position: ['-0.00', ' 0.04', '-1.23'] 
Timestamp: 1652804043.0222805, Acceleration: [' 0.02', ' 0.17', ' 0.79'], Velocity: [' 0.00', ' 0.12', '-3.50'], Position: ['-0.00', ' 0.04', '-1.29'] 
Timestamp: 1652804043.0354147, Acceleration: [' 0.14', ' 0.22', ' 0.62'], Velocity: [' 0.01', ' 0.12', '-3.62'], Position: ['-0.00', ' 0.04', '-1.34'] 
Timestamp: 1652804043.0771067, Acceleration: ['-0.09', ' 0.31', ' 0.65'], Velocity: [' 0.00', ' 0.13', '-4.00'], Position: ['-0.00', ' 0.05', '-1.51'] 
Timestamp: 1652804043.0895739, Acceleration: [' 0.05', ' 0.31', ' 0.88'], Velocity: [' 0.00', ' 0.14', '-4.11'], Position: ['-0.00', ' 0.05', '-1.57'] 
Timestamp: 1652804043.097647, Acceleration: [' 0.12', ' 0.35', ' 0.89'], Velocity: [' 0.00', ' 0.14', '-4.18'], Position: ['-0.00', ' 0.05', '-1.60'] 
Timestamp: 1652804043.1061268, Acceleration: [' 0.02', ' 0.25', ' 0.85'], Velocity: [' 0.00', ' 0.14', '-4.26'], Position: ['-0.00', ' 0.05', '-1.64'] 
Timestamp: 1652804043.1170487, Acceleration: [' 0.15', ' 0.38', ' 1.01'], Velocity: [' 0.01', ' 0.15', '-4.36'], Position: ['-0.00', ' 0.05', '-1.68'] 
Timestamp: 1652804043.1322186, Acceleration: ['-0.08', ' 0.31', ' 0.67'], Velocity: [' 0.00', ' 0.15', '-4.49'], Position: ['-0.00', ' 0.05', '-1.75'] 
Timestamp: 1652804043.1387565, Acceleration: [' 0.21', ' 0.37', ' 0.83'], Velocity: [' 0.01', ' 0.15', '-4.55'], Position: ['-0.00', ' 0.06', '-1.78'] 
Timestamp: 1652804043.1456497, Acceleration: [' 0.19', ' 0.38', ' 0.95'], Velocity: [' 0.01', ' 0.15', '-4.61'], Position: ['-0.00', ' 0.06', '-1.82'] 
Timestamp: 1652804043.1573436, Acceleration: [' 0.17', ' 0.33', ' 1.01'], Velocity: [' 0.01', ' 0.16', '-4.72'], Position: ['-0.00', ' 0.06', '-1.87'] 
Timestamp: 1652804043.1665857, Acceleration: [' 0.22', ' 0.34', ' 0.88'], Velocity: [' 0.01', ' 0.16', '-4.80'], Position: ['-0.00', ' 0.06', '-1.92'] 
Timestamp: 1652804043.1787546, Acceleration: [' 0.02', ' 0.47', ' 0.70'], Velocity: [' 0.01', ' 0.17', '-4.91'], Position: ['-0.00', ' 0.06', '-1.98'] 
Timestamp: 1652804043.1857626, Acceleration: [' 0.18', ' 0.38', ' 0.74'], Velocity: [' 0.01', ' 0.17', '-4.97'], Position: ['-0.00', ' 0.06', '-2.01'] 
Timestamp: 1652804043.195707, Acceleration: [' 0.17', ' 0.35', ' 0.86'], Velocity: [' 0.01', ' 0.17', '-5.06'], Position: ['-0.00', ' 0.07', '-2.06'] 
Timestamp: 1652804043.206284, Acceleration: [' 0.17', ' 0.38', ' 0.79'], Velocity: [' 0.02', ' 0.18', '-5.16'], Position: ['-0.00', ' 0.07', '-2.12'] 
Timestamp: 1652804043.218906, Acceleration: ['-0.10', ' 0.39', ' 0.67'], Velocity: [' 0.02', ' 0.18', '-5.27'], Position: ['-0.00', ' 0.07', '-2.19'] 
Timestamp: 1652804043.2272885, Acceleration: ['-0.03', ' 0.32', ' 0.69'], Velocity: [' 0.02', ' 0.19', '-5.35'], Position: ['-0.00', ' 0.07', '-2.23'] 
Timestamp: 1652804043.235771, Acceleration: [' 0.08', ' 0.38', ' 0.65'], Velocity: [' 0.02', ' 0.19', '-5.43'], Position: ['-0.00', ' 0.07', '-2.28'] 
Timestamp: 1652804043.245659, Acceleration: [' 0.02', ' 0.44', ' 0.68'], Velocity: [' 0.02', ' 0.19', '-5.52'], Position: ['-0.00', ' 0.07', '-2.33'] 
Timestamp: 1652804043.2615438, Acceleration: ['-0.08', ' 0.41', ' 0.71'], Velocity: [' 0.01', ' 0.20', '-5.66'], Position: ['-0.00', ' 0.08', '-2.42'] 
Timestamp: 1652804043.2680738, Acceleration: ['-0.09', ' 0.36', ' 0.78'], Velocity: [' 0.01', ' 0.20', '-5.72'], Position: ['-0.00', ' 0.08', '-2.46'] 
Timestamp: 1652804043.2759268, Acceleration: ['-0.08', ' 0.34', ' 0.74'], Velocity: [' 0.01', ' 0.20', '-5.79'], Position: ['-0.00', ' 0.08', '-2.51'] 
Timestamp: 1652804043.285828, Acceleration: ['-0.03', ' 0.34', ' 0.58'], Velocity: [' 0.01', ' 0.21', '-5.88'], Position: ['-0.00', ' 0.08', '-2.56'] 
Timestamp: 1652804043.2988238, Acceleration: [' 0.03', ' 0.32', ' 0.93'], Velocity: [' 0.01', ' 0.21', '-6.00'], Position: ['-0.00', ' 0.09', '-2.64'] 
Timestamp: 1652804043.3059437, Acceleration: ['-0.01', ' 0.44', ' 0.93'], Velocity: [' 0.01', ' 0.22', '-6.06'], Position: ['-0.00', ' 0.09', '-2.69'] 
