Timestamp: 1652971676.3940127, Acceleration: [' 0.37', ' 0.45', ' 1.78'], Velocity: [' 0.09', ' 0.10', '-1.85'], Position: [' 0.03', ' 0.04', '-0.64'] 
Timestamp: 1652971676.4104428, Acceleration: [' 0.30', ' 0.59', ' 1.98'], Velocity: [' 0.09', ' 0.11', '-1.98'], Position: [' 0.03', ' 0.04', '-0.68'] 
Timestamp: 1652971676.4193857, Acceleration: [' 0.17', ' 0.59', ' 1.94'], Velocity: [' 0.09', ' 0.12', '-2.05'], Position: [' 0.03', ' 0.04', '-0.69'] 
Timestamp: 1652971676.427215, Acceleration: [' 0.47', ' 0.63', ' 1.98'], Velocity: [' 0.10', ' 0.12', '-2.11'], Position: [' 0.03', ' 0.04', '-0.71'] 
Timestamp: 1652971676.4367423, Acceleration: [' 0.29', ' 0.84', ' 1.98'], Velocity: [' 0.10', ' 0.13', '-2.19'], Position: [' 0.03', ' 0.04', '-0.73'] 
Timestamp: 1652971676.4481437, Acceleration: [' 0.15', ' 0.56', ' 1.88'], Velocity: [' 0.10', ' 0.14', '-2.28'], Position: [' 0.03', ' 0.04', '-0.76'] 
Timestamp: 1652971676.4553726, Acceleration: [' 0.40', ' 0.56', ' 2.00'], Velocity: [' 0.10', ' 0.14', '-2.34'], Position: [' 0.04', ' 0.04', '-0.78'] 
Timestamp: 1652971676.4621086, Acceleration: [' 0.52', ' 0.57', ' 1.85'], Velocity: [' 0.11', ' 0.15', '-2.39'], Position: [' 0.04', ' 0.04', '-0.79'] 
Timestamp: 1652971676.4710815, Acceleration: [' 0.47', ' 0.57', ' 1.80'], Velocity: [' 0.11', ' 0.15', '-2.46'], Position: [' 0.04', ' 0.05', '-0.81'] 
Timestamp: 1652971676.4815128, Acceleration: [' 0.52', ' 0.55', ' 1.86'], Velocity: [' 0.12', ' 0.16', '-2.54'], Position: [' 0.04', ' 0.05', '-0.84'] 
Timestamp: 1652971676.4931364, Acceleration: [' 0.52', ' 0.57', ' 1.94'], Velocity: [' 0.12', ' 0.16', '-2.64'], Position: [' 0.04', ' 0.05', '-0.87'] 
Timestamp: 1652971676.5011315, Acceleration: [' 0.27', ' 0.55', ' 1.89'], Velocity: [' 0.12', ' 0.17', '-2.70'], Position: [' 0.04', ' 0.05', '-0.89'] 
Timestamp: 1652971676.514478, Acceleration: [' 0.18', ' 0.69', ' 1.98'], Velocity: [' 0.13', ' 0.18', '-2.80'], Position: [' 0.04', ' 0.05', '-0.93'] 
Timestamp: 1652971676.527038, Acceleration: [' 0.35', ' 0.56', ' 1.82'], Velocity: [' 0.13', ' 0.18', '-2.90'], Position: [' 0.04', ' 0.06', '-0.97'] 
Timestamp: 1652971676.5341184, Acceleration: [' 0.36', ' 0.44', ' 1.78'], Velocity: [' 0.13', ' 0.19', '-2.96'], Position: [' 0.05', ' 0.06', '-0.99'] 
Timestamp: 1652971676.5414562, Acceleration: [' 0.27', ' 0.62', ' 1.99'], Velocity: [' 0.14', ' 0.19', '-3.02'], Position: [' 0.05', ' 0.06', '-1.01'] 
Timestamp: 1652971676.5540752, Acceleration: [' 0.05', ' 0.50', ' 1.66'], Velocity: [' 0.14', ' 0.20', '-3.12'], Position: [' 0.05', ' 0.06', '-1.05'] 
Timestamp: 1652971676.562035, Acceleration: [' 0.31', ' 0.46', ' 1.71'], Velocity: [' 0.14', ' 0.20', '-3.18'], Position: [' 0.05', ' 0.06', '-1.08'] 
Timestamp: 1652971676.5691502, Acceleration: [' 0.25', ' 0.64', ' 2.00'], Velocity: [' 0.14', ' 0.21', '-3.24'], Position: [' 0.05', ' 0.06', '-1.10'] 
Timestamp: 1652971676.578992, Acceleration: [' 0.32', ' 0.65', ' 1.99'], Velocity: [' 0.14', ' 0.21', '-3.32'], Position: [' 0.05', ' 0.07', '-1.13'] 
Timestamp: 1652971676.5858784, Acceleration: [' 0.37', ' 0.71', ' 2.00'], Velocity: [' 0.15', ' 0.22', '-3.37'], Position: [' 0.05', ' 0.07', '-1.16'] 
Timestamp: 1652971676.5953364, Acceleration: [' 0.39', ' 0.61', ' 2.00'], Velocity: [' 0.15', ' 0.22', '-3.45'], Position: [' 0.05', ' 0.07', '-1.19'] 
Timestamp: 1652971676.612549, Acceleration: [' 0.51', ' 0.49', ' 1.88'], Velocity: [' 0.16', ' 0.23', '-3.58'], Position: [' 0.06', ' 0.07', '-1.25'] 
Timestamp: 1652971676.6194847, Acceleration: [' 0.28', ' 0.45', ' 1.76'], Velocity: [' 0.16', ' 0.24', '-3.64'], Position: [' 0.06', ' 0.08', '-1.28'] 
Timestamp: 1652971676.6265287, Acceleration: [' 0.16', ' 0.40', ' 1.71'], Velocity: [' 0.16', ' 0.24', '-3.69'], Position: [' 0.06', ' 0.08', '-1.31'] 
Timestamp: 1652971676.6351395, Acceleration: [' 0.36', ' 0.46', ' 1.81'], Velocity: [' 0.17', ' 0.24', '-3.76'], Position: [' 0.06', ' 0.08', '-1.34'] 
Timestamp: 1652971676.654763, Acceleration: [' 0.05', ' 0.63', ' 1.83'], Velocity: [' 0.17', ' 0.25', '-3.92'], Position: [' 0.06', ' 0.08', '-1.42'] 
Timestamp: 1652971676.6615, Acceleration: [' 0.09', ' 0.67', ' 1.92'], Velocity: [' 0.17', ' 0.26', '-3.97'], Position: [' 0.06', ' 0.09', '-1.44'] 
Timestamp: 1652971676.6684027, Acceleration: [' 0.14', ' 0.52', ' 1.78'], Velocity: [' 0.17', ' 0.26', '-4.03'], Position: [' 0.07', ' 0.09', '-1.47'] 
Timestamp: 1652971676.6752, Acceleration: [' 0.33', ' 0.41', ' 1.74'], Velocity: [' 0.17', ' 0.27', '-4.08'], Position: [' 0.07', ' 0.09', '-1.50'] 
Timestamp: 1652971676.6862166, Acceleration: [' 0.56', ' 0.46', ' 1.81'], Velocity: [' 0.18', ' 0.27', '-4.17'], Position: [' 0.07', ' 0.09', '-1.55'] 
Timestamp: 1652971676.695239, Acceleration: [' 0.42', ' 0.64', ' 1.87'], Velocity: [' 0.18', ' 0.28', '-4.24'], Position: [' 0.07', ' 0.10', '-1.58'] 
Timestamp: 1652971676.7065473, Acceleration: [' 0.19', ' 0.68', ' 1.87'], Velocity: [' 0.18', ' 0.28', '-4.33'], Position: [' 0.07', ' 0.10', '-1.63'] 
Timestamp: 1652971676.7153866, Acceleration: [' 0.14', ' 0.48', ' 1.78'], Velocity: [' 0.18', ' 0.29', '-4.40'], Position: [' 0.07', ' 0.10', '-1.67'] 
Timestamp: 1652971676.725315, Acceleration: [' 0.25', ' 0.63', ' 1.93'], Velocity: [' 0.19', ' 0.29', '-4.48'], Position: [' 0.08', ' 0.10', '-1.72'] 
Timestamp: 1652971676.7352343, Acceleration: [' 0.35', ' 0.64', ' 1.98'], Velocity: [' 0.19', ' 0.30', '-4.56'], Position: [' 0.08', ' 0.11', '-1.76'] 
Timestamp: 1652971676.745313, Acceleration: [' 0.23', ' 0.66', ' 1.86'], Velocity: [' 0.19', ' 0.31', '-4.64'], Position: [' 0.08', ' 0.11', '-1.81'] 
Timestamp: 1652971676.755611, Acceleration: [' 0.01', ' 0.60', ' 1.88'], Velocity: [' 0.19', ' 0.31', '-4.72'], Position: [' 0.08', ' 0.11', '-1.86'] 
Timestamp: 1652971676.765274, Acceleration: [' 0.11', ' 0.65', ' 1.79'], Velocity: [' 0.19', ' 0.32', '-4.80'], Position: [' 0.08', ' 0.12', '-1.91'] 
Timestamp: 1652971676.7751985, Acceleration: [' 0.30', ' 0.64', ' 1.86'], Velocity: [' 0.20', ' 0.33', '-4.88'], Position: [' 0.09', ' 0.12', '-1.96'] 
Timestamp: 1652971676.7852628, Acceleration: [' 0.16', ' 0.42', ' 1.72'], Velocity: [' 0.20', ' 0.33', '-4.96'], Position: [' 0.09', ' 0.12', '-2.01'] 
Timestamp: 1652971676.7952511, Acceleration: [' 0.10', ' 0.49', ' 1.68'], Velocity: [' 0.20', ' 0.34', '-5.04'], Position: [' 0.09', ' 0.13', '-2.06'] 
Timestamp: 1652971676.8051348, Acceleration: [' 0.38', ' 0.49', ' 1.79'], Velocity: [' 0.20', ' 0.34', '-5.12'], Position: [' 0.09', ' 0.13', '-2.11'] 
Timestamp: 1652971676.815355, Acceleration: [' 0.55', ' 0.62', ' 1.85'], Velocity: [' 0.21', ' 0.35', '-5.20'], Position: [' 0.09', ' 0.13', '-2.16'] 
Timestamp: 1652971676.8252525, Acceleration: [' 0.46', ' 0.49', ' 1.69'], Velocity: [' 0.21', ' 0.35', '-5.28'], Position: [' 0.10', ' 0.14', '-2.21'] 
