Timestamp: 1652974070.4896002, Acceleration: [' 0.00', '-0.03', ' 9.89'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', '-0.00', ' 0.01'] 
Timestamp: 1652974070.4986427, Acceleration: ['-0.00', '-0.08', ' 9.96'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.00', '-0.00', ' 0.01'] 
Timestamp: 1652974070.5100417, Acceleration: ['-0.11', '-0.20', '10.02'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.00', '-0.00', ' 0.01'] 
Timestamp: 1652974070.5189111, Acceleration: [' 0.10', '-0.07', ' 9.96'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.00', '-0.00', ' 0.01'] 
Timestamp: 1652974070.5356214, Acceleration: [' 0.15', ' 0.01', ' 9.89'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', '-0.00', ' 0.01'] 
Timestamp: 1652974070.5456407, Acceleration: ['-0.29', '-0.28', '10.01'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', '-0.00', ' 0.01'] 
Timestamp: 1652974070.5539713, Acceleration: ['-0.09', '-0.14', ' 9.97'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.00', '-0.00', ' 0.01'] 
Timestamp: 1652974070.5642269, Acceleration: ['-0.05', '-0.03', ' 9.65'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.00', '-0.00', ' 0.01'] 
Timestamp: 1652974070.5712178, Acceleration: [' 0.01', '-0.01', '10.05'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.00', '-0.00', ' 0.01'] 
Timestamp: 1652974070.5790446, Acceleration: ['-0.11', '-0.15', ' 9.75'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.00', '-0.00', ' 0.01'] 
Timestamp: 1652974070.5951324, Acceleration: ['-0.01', ' 0.00', ' 9.98'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.00', '-0.00', ' 0.01'] 
Timestamp: 1652974070.6200457, Acceleration: ['-0.26', '-0.17', '10.15'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.00', '-0.00', ' 0.01'] 
Timestamp: 1652974070.6283638, Acceleration: ['-0.10', '-0.05', '10.05'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.00', '-0.00', ' 0.01'] 
Timestamp: 1652974070.6358876, Acceleration: ['-0.02', ' 0.02', ' 9.97'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.00', '-0.00', ' 0.01'] 
Timestamp: 1652974070.6551714, Acceleration: ['-0.03', '-0.15', ' 9.99'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.00', '-0.00', ' 0.01'] 
Timestamp: 1652974070.6642768, Acceleration: ['-0.17', '-0.02', ' 9.99'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.00', '-0.00', ' 0.01'] 
Timestamp: 1652974070.6850479, Acceleration: ['-0.19', '-0.12', ' 9.90'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.00', '-0.00', ' 0.01'] 
Timestamp: 1652974070.6940224, Acceleration: ['-0.27', '-0.12', ' 9.84'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.00', '-0.00', ' 0.01'] 
Timestamp: 1652974070.7138987, Acceleration: ['-0.02', ' 0.02', ' 9.83'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.00', '-0.00', ' 0.01'] 
Timestamp: 1652974070.7240088, Acceleration: [' 0.10', '-0.16', ' 9.77'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.00', '-0.00', ' 0.01'] 
Timestamp: 1652974070.740398, Acceleration: ['-0.07', '-0.06', '10.04'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.00', '-0.00', ' 0.01'] 
Timestamp: 1652974070.746985, Acceleration: ['-0.07', '-0.24', ' 9.72'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.00', '-0.00', ' 0.01'] 
Timestamp: 1652974070.754092, Acceleration: ['-0.04', '-0.12', ' 9.55'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.00', '-0.00', ' 0.01'] 
Timestamp: 1652974070.770488, Acceleration: [' 0.16', '-0.08', ' 9.81'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.00', '-0.00', ' 0.01'] 
Timestamp: 1652974070.7789803, Acceleration: [' 0.01', '-0.01', ' 9.89'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.00', '-0.00', ' 0.01'] 
Timestamp: 1652974070.785677, Acceleration: ['-0.15', '-0.01', ' 9.88'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.00', '-0.00', ' 0.01'] 
Timestamp: 1652974070.7939837, Acceleration: ['-0.19', '-0.21', ' 9.86'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.00', '-0.00', ' 0.01'] 
Timestamp: 1652974070.8038812, Acceleration: ['-0.12', ' 0.04', ' 9.94'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.00', '-0.00', ' 0.01'] 
Timestamp: 1652974070.814034, Acceleration: [' 0.08', ' 0.01', ' 9.65'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.00', '-0.00', ' 0.01'] 
Timestamp: 1652974070.8244889, Acceleration: [' 0.09', ' 0.02', '10.05'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.00', '-0.00', ' 0.01'] 
Timestamp: 1652974070.8339171, Acceleration: ['-0.07', '-0.04', '10.16'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.00', '-0.00', ' 0.01'] 
Timestamp: 1652974070.8464944, Acceleration: ['-0.09', '-0.16', ' 9.60'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.00', '-0.00', ' 0.01'] 
Timestamp: 1652974070.8541405, Acceleration: [' 0.12', '-0.12', '10.02'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.00', '-0.00', ' 0.01'] 
Timestamp: 1652974070.8638906, Acceleration: ['-0.02', '-0.13', ' 9.97'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.00', '-0.00', ' 0.01'] 
Timestamp: 1652974070.8738182, Acceleration: [' 0.01', '-0.16', ' 9.82'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.00', '-0.00', ' 0.01'] 
Timestamp: 1652974070.8840456, Acceleration: [' 0.03', '-0.20', ' 9.87'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.00', '-0.00', ' 0.01'] 
Timestamp: 1652974070.8952007, Acceleration: ['-0.04', '-0.16', ' 9.88'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.00', '-0.00', ' 0.01'] 
Timestamp: 1652974070.9038267, Acceleration: ['-0.18', '-0.13', ' 9.69'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.00', '-0.00', ' 0.01'] 
Timestamp: 1652974070.9142923, Acceleration: ['-0.10', '-0.03', ' 9.92'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.00', '-0.00', ' 0.01'] 
Timestamp: 1652974070.9238465, Acceleration: ['-0.15', '-0.02', ' 9.90'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.00', '-0.00', ' 0.01'] 
Timestamp: 1652974070.9338384, Acceleration: ['-0.17', '-0.05', ' 9.77'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.00', '-0.00', ' 0.01'] 
Timestamp: 1652974070.9441166, Acceleration: [' 0.03', ' 0.02', ' 9.90'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.00', '-0.00', ' 0.01'] 
Timestamp: 1652974070.9540582, Acceleration: [' 0.04', '-0.02', '10.07'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.00', '-0.00', ' 0.01'] 
Timestamp: 1652974070.963958, Acceleration: [' 0.02', '-0.03', ' 9.79'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.00', '-0.00', ' 0.01'] 
Timestamp: 1652974070.9740543, Acceleration: [' 0.05', '-0.11', ' 9.74'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.00', '-0.00', ' 0.01'] 
Timestamp: 1652974070.983854, Acceleration: [' 0.17', '-0.10', ' 9.85'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.00', '-0.00', ' 0.01'] 
Timestamp: 1652974070.9941428, Acceleration: [' 0.02', '-0.14', ' 9.74'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.00', '-0.00', ' 0.01'] 
Timestamp: 1652974071.003868, Acceleration: ['-0.08', '-0.19', ' 9.62'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.00', '-0.00', ' 0.01'] 
Timestamp: 1652974071.0140333, Acceleration: [' 0.01', '-0.16', ' 9.82'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.00', '-0.00', ' 0.01'] 
Timestamp: 1652974071.0239406, Acceleration: ['-0.03', '-0.13', ' 9.80'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.00', '-0.00', ' 0.01'] 
Timestamp: 1652974071.0338879, Acceleration: ['-0.17', '-0.11', ' 9.77'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.00', '-0.00', ' 0.01'] 
Timestamp: 1652974071.0440257, Acceleration: ['-0.08', '-0.06', ' 9.83'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.00', '-0.00', ' 0.01'] 
Timestamp: 1652974071.0539875, Acceleration: ['-0.03', '-0.05', ' 9.87'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.00', '-0.00', ' 0.01'] 
Timestamp: 1652974071.0638418, Acceleration: ['-0.24', '-0.03', ' 9.82'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.00', '-0.00', ' 0.01'] 
Timestamp: 1652974071.0739243, Acceleration: ['-0.13', '-0.01', ' 9.76'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.00', '-0.00', ' 0.01'] 
Timestamp: 1652974071.0838308, Acceleration: [' 0.06', '-0.03', '10.03'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.00', '-0.00', ' 0.01'] 
Timestamp: 1652974071.0938509, Acceleration: ['-0.08', '-0.02', ' 9.84'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.00', '-0.00', ' 0.01'] 
Timestamp: 1652974071.1040394, Acceleration: [' 0.07', '-0.15', ' 9.78'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.00', '-0.00', ' 0.01'] 
Timestamp: 1652974071.1139197, Acceleration: [' 0.27', '-0.11', ' 9.95'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.00', '-0.00', ' 0.01'] 
Timestamp: 1652974071.124024, Acceleration: ['-0.03', '-0.18', ' 9.77'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.00', '-0.00', ' 0.01'] 
Timestamp: 1652974071.1339188, Acceleration: ['-0.14', '-0.17', ' 9.73'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.00', '-0.00', ' 0.01'] 
Timestamp: 1652974071.143912, Acceleration: [' 0.02', '-0.20', ' 9.84'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.00', '-0.00', ' 0.01'] 
Timestamp: 1652974071.1539977, Acceleration: ['-0.14', '-0.21', ' 9.86'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.00', '-0.00', ' 0.01'] 
Timestamp: 1652974071.1639748, Acceleration: ['-0.23', '-0.25', ' 9.64'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.00', '-0.00', ' 0.01'] 
Timestamp: 1652974071.1740756, Acceleration: ['-0.11', ' 0.02', ' 9.84'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.00', '-0.00', ' 0.01'] 
Timestamp: 1652974071.183942, Acceleration: ['-0.02', '-0.02', '10.02'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.00', '-0.00', ' 0.01'] 
Timestamp: 1652974071.194019, Acceleration: ['-0.16', ' 0.14', ' 9.82'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.00', '-0.00', ' 0.01'] 
Timestamp: 1652974071.204094, Acceleration: [' 0.01', '-0.01', ' 9.87'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.00', '-0.00', ' 0.01'] 
Timestamp: 1652974071.216464, Acceleration: [' 0.11', '-0.03', ' 9.92'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.00', '-0.00', ' 0.01'] 
Timestamp: 1652974071.2238462, Acceleration: [' 0.10', ' 0.03', ' 9.85'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.00', '-0.00', ' 0.01'] 
Timestamp: 1652974071.234157, Acceleration: [' 0.09', '-0.12', ' 9.61'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.00', '-0.00', ' 0.01'] 
Timestamp: 1652974071.250617, Acceleration: [' 0.09', ' 0.02', '10.04'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.00', '-0.00', ' 0.01'] 
Timestamp: 1652974071.2571812, Acceleration: ['-0.00', '-0.01', ' 9.61'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.00', '-0.00', ' 0.01'] 
Timestamp: 1652974071.2643087, Acceleration: [' 0.01', '-0.14', ' 9.93'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.00', '-0.00', ' 0.01'] 
Timestamp: 1652974071.274032, Acceleration: ['-0.16', '-0.10', ' 9.79'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.00', '-0.00', ' 0.01'] 
Timestamp: 1652974071.2839997, Acceleration: ['-0.22', '-0.13', ' 9.87'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.00', '-0.00', ' 0.01'] 
Timestamp: 1652974071.2945757, Acceleration: ['-0.00', ' 0.01', ' 9.99'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.00', '-0.00', ' 0.01'] 
Timestamp: 1652974071.3040543, Acceleration: ['-0.11', ' 0.03', ' 9.95'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.00', '-0.00', ' 0.01'] 
Timestamp: 1652974071.3139105, Acceleration: ['-0.21', ' 0.04', ' 9.97'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.00', '-0.00', ' 0.01'] 
Timestamp: 1652974071.3305588, Acceleration: ['-0.28', '-0.22', ' 9.77'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.00', '-0.00', ' 0.01'] 
Timestamp: 1652974071.3382282, Acceleration: ['-0.07', '-0.21', ' 9.76'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.00', '-0.00', ' 0.01'] 
Timestamp: 1652974071.345497, Acceleration: ['-0.02', '-0.14', ' 9.82'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.00', '-0.00', ' 0.01'] 
Timestamp: 1652974071.3584342, Acceleration: ['-0.22', '-0.08', ' 9.65'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.00', '-0.00', ' 0.01'] 
Timestamp: 1652974071.3658743, Acceleration: ['-0.15', '-0.22', ' 9.47'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.00', '-0.00', ' 0.01'] 
Timestamp: 1652974071.3742883, Acceleration: ['-0.06', '-0.19', ' 9.73'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.00', '-0.00', ' 0.01'] 
Timestamp: 1652974071.3839867, Acceleration: ['-0.07', '-0.15', ' 9.75'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.00', '-0.00', ' 0.01'] 
Timestamp: 1652974071.3944101, Acceleration: [' 0.01', '-0.19', ' 9.61'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.00', '-0.00', ' 0.01'] 
Timestamp: 1652974071.4043305, Acceleration: ['-0.12', '-0.11', ' 9.82'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.00', '-0.00', ' 0.01'] 
Timestamp: 1652974071.4140313, Acceleration: ['-0.20', '-0.07', ' 9.61'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.00', '-0.00', ' 0.01'] 
Timestamp: 1652974071.4238567, Acceleration: ['-0.10', '-0.06', ' 9.73'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.00', '-0.00', ' 0.01'] 
Timestamp: 1652974071.4343383, Acceleration: ['-0.16', '-0.00', ' 9.96'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.00', '-0.00', ' 0.01'] 
Timestamp: 1652974071.443899, Acceleration: ['-0.11', ' 0.13', ' 9.74'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.00', '-0.00', ' 0.01'] 
Timestamp: 1652974071.454044, Acceleration: ['-0.04', '-0.01', ' 9.90'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.00', '-0.00', ' 0.01'] 
Timestamp: 1652974071.4639392, Acceleration: [' 0.00', ' 0.01', '10.06'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.00', '-0.00', ' 0.01'] 
Timestamp: 1652974071.4741688, Acceleration: ['-0.08', '-0.06', ' 9.80'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.00', '-0.00', ' 0.01'] 
Timestamp: 1652974071.4839523, Acceleration: [' 0.01', '-0.10', ' 9.84'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.00', '-0.00', ' 0.01'] 
Timestamp: 1652974071.4942596, Acceleration: [' 0.03', '-0.07', ' 9.99'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.00', '-0.00', ' 0.01'] 
