Timestamp: 1656013859.7909257, Acceleration: ['-0.39', ' 0.42', ' 9.84'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.03', ' 0.03', ' 0.00'] 
Timestamp: 1656013859.798272, Acceleration: ['-0.65', ' 0.16', '10.34'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.03', ' 0.03', ' 0.00'] 
Timestamp: 1656013859.8048089, Acceleration: ['-1.12', '-0.08', ' 9.01'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.03', ' 0.03', ' 0.00'] 
Timestamp: 1656013859.8148284, Acceleration: ['-1.00', '-0.30', '10.21'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.03', ' 0.03', ' 0.00'] 
Timestamp: 1656013859.8278184, Acceleration: ['-0.59', ' 0.19', ' 9.82'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.03', ' 0.03', ' 0.00'] 
Timestamp: 1656013859.8343985, Acceleration: ['-0.55', ' 0.05', '10.72'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.03', ' 0.03', ' 0.00'] 
Timestamp: 1656013859.8448565, Acceleration: ['-0.72', ' 0.16', ' 9.95'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.03', ' 0.03', ' 0.00'] 
Timestamp: 1656013859.855578, Acceleration: ['-0.61', ' 0.17', ' 9.62'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.03', ' 0.03', ' 0.00'] 
Timestamp: 1656013859.8648503, Acceleration: ['-0.86', ' 0.02', ' 9.74'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.03', ' 0.03', ' 0.00'] 
Timestamp: 1656013859.8744094, Acceleration: ['-0.64', ' 0.07', ' 9.11'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.03', ' 0.03', ' 0.00'] 
Timestamp: 1656013859.8842816, Acceleration: ['-0.75', '-0.05', ' 9.82'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.03', ' 0.03', ' 0.00'] 
Timestamp: 1656013859.8947208, Acceleration: ['-1.17', '-0.10', ' 9.20'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.03', ' 0.03', ' 0.00'] 
Timestamp: 1656013859.9043553, Acceleration: ['-0.94', '-0.18', '10.08'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.03', ' 0.03', ' 0.00'] 
Timestamp: 1656013859.9155805, Acceleration: ['-0.77', '-0.14', '10.35'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.03', ' 0.03', ' 0.00'] 
Timestamp: 1656013859.927826, Acceleration: ['-0.50', ' 0.15', '10.04'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.03', ' 0.03', ' 0.00'] 
Timestamp: 1656013859.934433, Acceleration: ['-0.83', ' 0.10', '10.28'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.03', ' 0.03', ' 0.00'] 
Timestamp: 1656013859.9443972, Acceleration: ['-0.44', ' 0.27', ' 9.55'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.03', ' 0.03', ' 0.00'] 
Timestamp: 1656013859.956758, Acceleration: ['-0.88', ' 0.01', ' 8.91'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.03', ' 0.03', ' 0.00'] 
Timestamp: 1656013859.964464, Acceleration: ['-0.81', ' 0.01', ' 8.77'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.03', ' 0.03', ' 0.00'] 
Timestamp: 1656013859.974395, Acceleration: ['-0.79', '-0.20', ' 9.80'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.03', ' 0.03', ' 0.00'] 
