Timestamp: 1656013887.9644542, Acceleration: ['-0.16', ' 0.27', ' 9.70'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.01', ' 0.02', '-0.01'] 
Timestamp: 1656013887.9714565, Acceleration: [' 0.19', ' 0.71', ' 9.67'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.01', ' 0.02', '-0.01'] 
Timestamp: 1656013887.9838378, Acceleration: ['-0.06', ' 0.48', ' 9.91'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.01', ' 0.02', '-0.01'] 
Timestamp: 1656013887.9924066, Acceleration: ['-0.49', '-0.18', ' 8.68'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.01', ' 0.02', '-0.01'] 
Timestamp: 1656013888.0015147, Acceleration: ['-0.55', '-0.07', ' 8.77'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.01', ' 0.02', '-0.01'] 
Timestamp: 1656013888.009185, Acceleration: ['-0.13', '-0.01', ' 9.75'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.01', ' 0.02', '-0.01'] 
Timestamp: 1656013888.019986, Acceleration: ['-0.53', '-0.14', ' 8.76'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.01', ' 0.02', '-0.01'] 
Timestamp: 1656013888.0314355, Acceleration: ['-0.43', ' 0.01', ' 8.83'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.01', ' 0.02', '-0.01'] 
Timestamp: 1656013888.0384774, Acceleration: ['-0.00', ' 0.27', '10.11'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.01', ' 0.02', '-0.01'] 
Timestamp: 1656013888.0481043, Acceleration: ['-0.25', ' 0.38', ' 9.03'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.01', ' 0.02', '-0.01'] 
Timestamp: 1656013888.0577595, Acceleration: [' 0.19', ' 0.41', ' 9.27'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.01', ' 0.02', '-0.01'] 
Timestamp: 1656013888.068535, Acceleration: [' 0.05', ' 0.60', ' 9.60'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.01', ' 0.02', '-0.01'] 
Timestamp: 1656013888.078111, Acceleration: [' 0.16', ' 0.57', ' 9.17'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.01', ' 0.02', '-0.01'] 
Timestamp: 1656013888.0879865, Acceleration: [' 0.21', ' 0.56', ' 9.86'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.01', ' 0.02', '-0.01'] 
Timestamp: 1656013888.0978706, Acceleration: ['-0.30', ' 0.30', '10.01'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.01', ' 0.02', '-0.01'] 
Timestamp: 1656013888.1079924, Acceleration: [' 0.05', ' 0.08', ' 9.72'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.01', ' 0.02', '-0.01'] 
Timestamp: 1656013888.1180205, Acceleration: ['-0.61', '-0.19', ' 8.72'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.01', ' 0.02', '-0.01'] 
Timestamp: 1656013888.1284964, Acceleration: [' 0.02', ' 0.05', ' 9.80'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.01', ' 0.02', '-0.01'] 
Timestamp: 1656013888.1384032, Acceleration: ['-0.27', ' 0.36', ' 9.58'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.01', ' 0.02', '-0.01'] 
Timestamp: 1656013888.1479576, Acceleration: [' 0.07', ' 0.48', ' 9.40'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.01', ' 0.02', '-0.01'] 
Timestamp: 1656013888.1579666, Acceleration: [' 0.07', ' 0.56', ' 9.71'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.01', ' 0.02', '-0.01'] 
Timestamp: 1656013888.1681767, Acceleration: [' 0.02', ' 0.51', ' 8.84'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.01', ' 0.02', '-0.01'] 
Timestamp: 1656013888.1786225, Acceleration: [' 0.26', ' 0.51', '10.00'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.01', ' 0.02', '-0.01'] 
Timestamp: 1656013888.188491, Acceleration: ['-0.27', ' 0.16', ' 8.91'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.01', ' 0.02', '-0.01'] 
Timestamp: 1656013888.203102, Acceleration: [' 0.20', ' 0.67', '10.03'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.01', ' 0.02', '-0.01'] 
Timestamp: 1656013888.2095306, Acceleration: ['-0.31', ' 0.16', ' 9.38'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.01', ' 0.02', '-0.01'] 
