Timestamp: 1656014045.7783866, Acceleration: [' 0.67', '-1.08', ' 9.30'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.05', '-0.08', '-0.04'] 
Timestamp: 1656014045.7856345, Acceleration: [' 0.62', '-1.09', ' 8.05'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.05', '-0.08', '-0.04'] 
Timestamp: 1656014045.7919497, Acceleration: [' 1.20', '-0.59', ' 7.69'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.05', '-0.08', '-0.04'] 
Timestamp: 1656014045.8019414, Acceleration: [' 1.04', '-0.78', ' 8.02'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.05', '-0.08', '-0.04'] 
Timestamp: 1656014045.8118906, Acceleration: [' 0.26', '-1.10', ' 7.22'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.05', '-0.08', '-0.04'] 
Timestamp: 1656014045.8238063, Acceleration: [' 1.08', '-0.77', ' 9.52'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.05', '-0.08', '-0.04'] 
Timestamp: 1656014045.8324296, Acceleration: [' 0.34', '-1.02', ' 8.31'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.05', '-0.08', '-0.04'] 
Timestamp: 1656014045.842064, Acceleration: [' 1.02', '-0.78', ' 9.50'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.05', '-0.08', '-0.04'] 
Timestamp: 1656014045.8520536, Acceleration: [' 0.75', '-0.71', ' 8.76'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.05', '-0.08', '-0.04'] 
Timestamp: 1656014045.862102, Acceleration: [' 1.22', '-0.50', ' 9.78'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.05', '-0.08', '-0.04'] 
Timestamp: 1656014045.8719835, Acceleration: [' 1.67', '-0.25', ' 8.28'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.05', '-0.08', '-0.04'] 
Timestamp: 1656014045.8825986, Acceleration: [' 0.75', '-0.65', ' 7.29'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.05', '-0.08', '-0.04'] 
Timestamp: 1656014045.892236, Acceleration: [' 0.77', '-0.84', ' 7.87'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.05', '-0.08', '-0.04'] 
Timestamp: 1656014045.9019065, Acceleration: [' 0.07', '-0.83', ' 7.94'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.05', '-0.08', '-0.04'] 
Timestamp: 1656014045.9145517, Acceleration: [' 0.82', '-0.66', ' 9.40'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.05', '-0.08', '-0.04'] 
Timestamp: 1656014045.9219553, Acceleration: [' 0.86', '-0.50', ' 9.64'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.05', '-0.08', '-0.04'] 
Timestamp: 1656014045.9319282, Acceleration: [' 1.60', '-0.41', ' 9.41'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.05', '-0.08', '-0.04'] 
Timestamp: 1656014045.9442143, Acceleration: [' 1.23', '-0.52', ' 7.70'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.05', '-0.08', '-0.04'] 
Timestamp: 1656014045.9517686, Acceleration: [' 1.55', '-0.25', ' 8.58'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.05', '-0.08', '-0.04'] 
Timestamp: 1656014045.961864, Acceleration: [' 0.95', '-0.50', ' 8.01'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.05', '-0.08', '-0.04'] 
Timestamp: 1656014045.9751403, Acceleration: [' 0.77', '-0.58', ' 7.99'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.05', '-0.08', '-0.04'] 
Timestamp: 1656014045.983138, Acceleration: [' 0.28', '-0.76', ' 8.01'], Velocity: [' 0.00', '-0.01', '-0.01'], Position: [' 0.05', '-0.08', '-0.04'] 
Timestamp: 1656014045.9928234, Acceleration: [' 0.60', '-0.53', ' 8.09'], Velocity: [' 0.01', '-0.01', '-0.03'], Position: [' 0.05', '-0.08', '-0.04'] 
Timestamp: 1656014046.0020952, Acceleration: [' 0.79', '-0.47', ' 9.75'], Velocity: [' 0.02', '-0.02', '-0.03'], Position: [' 0.05', '-0.08', '-0.04'] 
Timestamp: 1656014046.0122979, Acceleration: [' 0.85', '-0.40', ' 9.31'], Velocity: [' 0.02', '-0.02', '-0.04'], Position: [' 0.05', '-0.08', '-0.04'] 
Timestamp: 1656014046.0219069, Acceleration: [' 1.63', '-0.19', ' 9.80'], Velocity: [' 0.04', '-0.02', '-0.04'], Position: [' 0.05', '-0.08', '-0.04'] 
Timestamp: 1656014046.03175, Acceleration: [' 1.53', '-0.38', ' 9.79'], Velocity: [' 0.05', '-0.03', '-0.04'], Position: [' 0.05', '-0.08', '-0.04'] 
Timestamp: 1656014046.0430698, Acceleration: [' 0.37', '-0.67', ' 6.83'], Velocity: [' 0.06', '-0.03', '-0.07'], Position: [' 0.05', '-0.08', '-0.04'] 
Timestamp: 1656014046.0520546, Acceleration: [' 0.33', '-0.66', ' 6.93'], Velocity: [' 0.06', '-0.04', '-0.10'], Position: [' 0.05', '-0.08', '-0.04'] 
Timestamp: 1656014046.0659192, Acceleration: [' 0.70', '-0.63', ' 8.47'], Velocity: [' 0.07', '-0.05', '-0.12'], Position: [' 0.05', '-0.08', '-0.05'] 
Timestamp: 1656014046.0743828, Acceleration: [' 0.70', '-0.49', ' 9.20'], Velocity: [' 0.08', '-0.05', '-0.12'], Position: [' 0.06', '-0.08', '-0.05'] 
Timestamp: 1656014046.0817258, Acceleration: [' 0.88', '-0.46', ' 9.48'], Velocity: [' 0.08', '-0.05', '-0.12'], Position: [' 0.06', '-0.08', '-0.05'] 
Timestamp: 1656014046.0927396, Acceleration: [' 1.47', '-0.38', ' 9.47'], Velocity: [' 0.10', '-0.06', '-0.13'], Position: [' 0.06', '-0.08', '-0.05'] 
Timestamp: 1656014046.1019673, Acceleration: [' 1.54', '-0.25', ' 9.57'], Velocity: [' 0.11', '-0.06', '-0.13'], Position: [' 0.06', '-0.08', '-0.05'] 
Timestamp: 1656014046.1132567, Acceleration: [' 1.61', '-0.12', ' 8.64'], Velocity: [' 0.13', '-0.06', '-0.14'], Position: [' 0.06', '-0.09', '-0.05'] 
Timestamp: 1656014046.121999, Acceleration: [' 1.62', '-0.17', ' 8.56'], Velocity: [' 0.15', '-0.06', '-0.15'], Position: [' 0.06', '-0.09', '-0.05'] 
