Timestamp: 1656014340.8867393, Acceleration: ['-0.32', ' 0.70', '27.31'], Velocity: ['-0.07', ' 0.15', ' 3.81'], Position: ['-0.02', ' 0.05', ' 1.24'] 
Timestamp: 1656014340.894451, Acceleration: ['-0.61', ' 1.82', '28.22'], Velocity: ['-0.07', ' 0.17', ' 3.95'], Position: ['-0.02', ' 0.05', ' 1.27'] 
Timestamp: 1656014340.9006739, Acceleration: ['-1.07', ' 2.11', '29.87'], Velocity: ['-0.08', ' 0.18', ' 4.07'], Position: ['-0.02', ' 0.05', ' 1.30'] 
Timestamp: 1656014340.9103513, Acceleration: ['-0.99', ' 2.30', '29.74'], Velocity: ['-0.09', ' 0.20', ' 4.26'], Position: ['-0.02', ' 0.05', ' 1.34'] 
Timestamp: 1656014340.9201899, Acceleration: ['-0.53', ' 1.50', '27.09'], Velocity: ['-0.10', ' 0.22', ' 4.43'], Position: ['-0.03', ' 0.06', ' 1.38'] 
Timestamp: 1656014340.9299843, Acceleration: ['-0.40', ' 1.39', '28.11'], Velocity: ['-0.10', ' 0.23', ' 4.61'], Position: ['-0.03', ' 0.06', ' 1.43'] 
Timestamp: 1656014340.9401662, Acceleration: ['-0.59', ' 0.11', '27.91'], Velocity: ['-0.11', ' 0.23', ' 4.80'], Position: ['-0.03', ' 0.06', ' 1.48'] 
Timestamp: 1656014340.9503114, Acceleration: ['-0.68', ' 0.47', '28.93'], Velocity: ['-0.11', ' 0.24', ' 4.99'], Position: ['-0.03', ' 0.06', ' 1.53'] 
Timestamp: 1656014340.9600253, Acceleration: ['-0.62', ' 0.22', '28.97'], Velocity: ['-0.12', ' 0.24', ' 5.18'], Position: ['-0.03', ' 0.07', ' 1.58'] 
Timestamp: 1656014340.9698796, Acceleration: ['-0.60', ' 0.85', '28.80'], Velocity: ['-0.12', ' 0.25', ' 5.37'], Position: ['-0.03', ' 0.07', ' 1.64'] 
Timestamp: 1656014340.9829311, Acceleration: ['-0.77', ' 1.17', '28.23'], Velocity: ['-0.13', ' 0.26', ' 5.61'], Position: ['-0.03', ' 0.07', ' 1.71'] 
Timestamp: 1656014340.9899175, Acceleration: ['-0.75', ' 1.16', '29.20'], Velocity: ['-0.14', ' 0.27', ' 5.74'], Position: ['-0.03', ' 0.07', ' 1.75'] 
Timestamp: 1656014340.9999158, Acceleration: ['-0.96', ' 1.80', '30.12'], Velocity: ['-0.15', ' 0.29', ' 5.94'], Position: ['-0.04', ' 0.08', ' 1.81'] 
Timestamp: 1656014341.0145845, Acceleration: ['-0.70', ' 0.41', '29.56'], Velocity: ['-0.16', ' 0.29', ' 6.23'], Position: ['-0.04', ' 0.08', ' 1.91'] 
