Timestamp: 1656014460.948849, Acceleration: [' 0.49', '-0.83', '26.56'], Velocity: [' 0.12', '-0.20', ' 4.06'], Position: [' 0.04', '-0.07', ' 1.48'] 
Timestamp: 1656014460.9558938, Acceleration: [' 0.74', '-1.73', '26.60'], Velocity: [' 0.12', '-0.21', ' 4.18'], Position: [' 0.04', '-0.08', ' 1.51'] 
Timestamp: 1656014460.9631553, Acceleration: [' 0.87', '-1.52', '25.20'], Velocity: [' 0.13', '-0.23', ' 4.29'], Position: [' 0.04', '-0.08', ' 1.54'] 
Timestamp: 1656014460.9725142, Acceleration: [' 0.69', '-1.74', '25.76'], Velocity: [' 0.14', '-0.24', ' 4.44'], Position: [' 0.05', '-0.08', ' 1.58'] 
Timestamp: 1656014460.9824393, Acceleration: [' 0.70', '-1.34', '27.11'], Velocity: [' 0.14', '-0.26', ' 4.61'], Position: [' 0.05', '-0.08', ' 1.63'] 
Timestamp: 1656014460.992414, Acceleration: [' 0.67', '-0.60', '27.54'], Velocity: [' 0.15', '-0.26', ' 4.79'], Position: [' 0.05', '-0.08', ' 1.68'] 
Timestamp: 1656014461.0080397, Acceleration: [' 0.56', '-0.79', '25.96'], Velocity: [' 0.16', '-0.27', ' 5.04'], Position: [' 0.05', '-0.09', ' 1.76'] 
Timestamp: 1656014461.0179663, Acceleration: [' 0.89', '-0.41', '25.53'], Velocity: [' 0.17', '-0.28', ' 5.20'], Position: [' 0.05', '-0.09', ' 1.81'] 
Timestamp: 1656014461.0245812, Acceleration: [' 0.74', '-1.26', '25.57'], Velocity: [' 0.17', '-0.29', ' 5.30'], Position: [' 0.05', '-0.09', ' 1.84'] 
Timestamp: 1656014461.0331645, Acceleration: [' 0.56', '-0.21', '25.82'], Velocity: [' 0.18', '-0.29', ' 5.44'], Position: [' 0.06', '-0.10', ' 1.89'] 
Timestamp: 1656014461.0428662, Acceleration: [' 0.83', '-1.28', '25.05'], Velocity: [' 0.19', '-0.30', ' 5.59'], Position: [' 0.06', '-0.10', ' 1.95'] 
Timestamp: 1656014461.053013, Acceleration: [' 0.93', '-1.37', '25.18'], Velocity: [' 0.19', '-0.31', ' 5.74'], Position: [' 0.06', '-0.10', ' 2.01'] 
Timestamp: 1656014461.0641453, Acceleration: [' 0.70', '-1.80', '25.43'], Velocity: [' 0.20', '-0.33', ' 5.92'], Position: [' 0.06', '-0.11', ' 2.07'] 
Timestamp: 1656014461.0721037, Acceleration: [' 0.65', '-1.49', '26.79'], Velocity: [' 0.21', '-0.35', ' 6.05'], Position: [' 0.06', '-0.11', ' 2.12'] 
Timestamp: 1656014461.0826976, Acceleration: [' 0.49', '-0.49', '26.90'], Velocity: [' 0.21', '-0.35', ' 6.23'], Position: [' 0.07', '-0.11', ' 2.19'] 
Timestamp: 1656014461.0930066, Acceleration: [' 0.52', '-0.44', '25.99'], Velocity: [' 0.22', '-0.36', ' 6.40'], Position: [' 0.07', '-0.12', ' 2.26'] 
