Timestamp: 1656014514.846382, Acceleration: [' 1.62', '-0.01', '-10.00'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.11', '-0.00', '-1.38'] 
Timestamp: 1656014514.8537598, Acceleration: [' 0.95', '-0.65', '-10.43'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.11', '-0.00', '-1.38'] 
Timestamp: 1656014514.8599443, Acceleration: [' 1.37', '-0.84', '-8.38'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.11', '-0.00', '-1.38'] 
Timestamp: 1656014514.8711472, Acceleration: [' 1.79', '-1.21', '-9.24'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.11', '-0.00', '-1.38'] 
Timestamp: 1656014514.8808534, Acceleration: [' 1.18', '-1.03', '-10.93'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.11', '-0.00', '-1.38'] 
Timestamp: 1656014514.8927817, Acceleration: [' 1.22', '-1.11', '-11.13'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.11', '-0.00', '-1.39'] 
Timestamp: 1656014514.9005194, Acceleration: [' 1.07', '-1.18', '-10.37'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.11', '-0.00', '-1.39'] 
Timestamp: 1656014514.9105904, Acceleration: ['-0.02', '-0.67', '-9.89'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.11', '-0.00', '-1.39'] 
Timestamp: 1656014514.9199512, Acceleration: [' 0.35', '-0.72', '-9.02'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.11', '-0.00', '-1.40'] 
Timestamp: 1656014514.9307609, Acceleration: [' 1.10', '-0.82', '-9.29'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.11', '-0.00', '-1.40'] 
Timestamp: 1656014514.9398851, Acceleration: [' 1.09', '-0.90', '-9.36'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.11', '-0.00', '-1.40'] 
Timestamp: 1656014514.9507592, Acceleration: [' 1.41', '-0.90', '-8.90'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.11', '-0.00', '-1.41'] 
Timestamp: 1656014514.9598274, Acceleration: [' 1.10', '-0.99', '-10.30'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.11', '-0.00', '-1.41'] 
Timestamp: 1656014514.9699876, Acceleration: [' 1.43', '-1.04', '-9.24'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.11', '-0.00', '-1.41'] 
Timestamp: 1656014514.9810967, Acceleration: [' 0.66', '-1.09', '-10.16'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.11', '-0.00', '-1.41'] 
Timestamp: 1656014514.9899461, Acceleration: [' 1.03', '-1.32', '-10.17'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.11', '-0.00', '-1.42'] 
Timestamp: 1656014514.999853, Acceleration: ['-0.03', '-0.99', '-10.46'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.11', '-0.00', '-1.42'] 
