Timestamp: 1656014795.3222091, Acceleration: ['-0.00', '-0.06', '10.19'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.00', '-0.00', ' 0.03'] 
Timestamp: 1656014795.3294697, Acceleration: ['-0.02', ' 0.01', ' 9.94'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.00', '-0.00', ' 0.03'] 
Timestamp: 1656014795.3357978, Acceleration: ['-0.01', '-0.17', ' 9.94'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.00', '-0.00', ' 0.03'] 
Timestamp: 1656014795.34581, Acceleration: [' 0.04', '-0.04', ' 9.84'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.00', '-0.00', ' 0.03'] 
Timestamp: 1656014795.3556397, Acceleration: [' 0.11', '-0.00', '10.28'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.00', '-0.00', ' 0.03'] 
Timestamp: 1656014795.3702106, Acceleration: ['-0.02', '-0.10', ' 9.93'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.00', '-0.00', ' 0.03'] 
Timestamp: 1656014795.3767238, Acceleration: ['-0.03', ' 0.01', ' 9.64'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.00', '-0.00', ' 0.03'] 
Timestamp: 1656014795.3858213, Acceleration: [' 0.03', ' 0.02', ' 9.70'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.00', '-0.00', ' 0.03'] 
Timestamp: 1656014795.396059, Acceleration: [' 0.31', '-0.06', '10.07'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.00', '-0.00', ' 0.03'] 
Timestamp: 1656014795.4062593, Acceleration: [' 0.14', '-0.09', '10.01'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.00', '-0.00', ' 0.03'] 
Timestamp: 1656014795.418697, Acceleration: [' 0.11', '-0.33', ' 9.92'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', '-0.00', ' 0.03'] 
Timestamp: 1656014795.425953, Acceleration: ['-0.08', '-0.20', ' 9.89'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', '-0.00', ' 0.03'] 
