Timestamp: 1656015020.5627725, Acceleration: [' 0.00', ' 0.05', ' 8.86'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', '-0.07'] 
Timestamp: 1656015020.6557448, Acceleration: [' 0.34', ' 0.29', ' 9.58'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.01', '-0.07'] 
Timestamp: 1656015020.7555134, Acceleration: [' 0.28', ' 0.25', ' 8.56'], Velocity: [' 0.03', ' 0.03', '-0.13'], Position: [' 0.01', ' 0.01', '-0.09'] 
Timestamp: 1656015020.8555439, Acceleration: [' 0.29', ' 0.26', ' 9.27'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.02', ' 0.02', '-0.11'] 
Timestamp: 1656015020.9554808, Acceleration: [' 0.28', ' 0.14', ' 8.92'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.02', ' 0.02', '-0.13'] 
Timestamp: 1656015021.0555282, Acceleration: ['-0.28', '-0.00', ' 8.58'], Velocity: ['-0.03', '-0.00', '-0.12'], Position: [' 0.02', ' 0.02', '-0.14'] 
Timestamp: 1656015021.155498, Acceleration: ['-0.21', ' 0.02', ' 9.37'], Velocity: ['-0.05', ' 0.00', '-0.17'], Position: [' 0.01', ' 0.02', '-0.16'] 
Timestamp: 1656015021.2555327, Acceleration: [' 0.47', ' 0.28', ' 9.58'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.01', ' 0.02', '-0.18'] 
Timestamp: 1656015021.3555326, Acceleration: [' 0.08', ' 0.15', ' 8.61'], Velocity: [' 0.01', ' 0.02', '-0.12'], Position: [' 0.01', ' 0.03', '-0.20'] 
Timestamp: 1656015021.456304, Acceleration: [' 0.15', ' 0.09', ' 9.23'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.02', ' 0.03', '-0.22'] 
Timestamp: 1656015021.5558834, Acceleration: [' 0.45', ' 0.25', ' 8.90'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.02', ' 0.03', '-0.24'] 
Timestamp: 1656015021.6558359, Acceleration: [' 0.25', ' 0.11', ' 8.45'], Velocity: [' 0.03', ' 0.01', '-0.14'], Position: [' 0.03', ' 0.03', '-0.26'] 
Timestamp: 1656015021.755511, Acceleration: ['-0.22', ' 0.14', ' 9.58'], Velocity: [' 0.00', ' 0.03', '-0.16'], Position: [' 0.03', ' 0.04', '-0.27'] 
Timestamp: 1656015021.8555222, Acceleration: [' 0.42', ' 0.32', ' 9.72'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.03', ' 0.05', '-0.29'] 
Timestamp: 1656015021.9555218, Acceleration: [' 0.27', ' 0.25', ' 8.58'], Velocity: [' 0.03', ' 0.02', '-0.12'], Position: [' 0.04', ' 0.05', '-0.31'] 
Timestamp: 1656015022.0554953, Acceleration: [' 0.18', ' 0.20', ' 8.90'], Velocity: [' 0.04', ' 0.04', '-0.21'], Position: [' 0.04', ' 0.05', '-0.33'] 
Timestamp: 1656015022.1554947, Acceleration: [' 0.46', ' 0.25', ' 9.17'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.05', ' 0.06', '-0.37'] 
Timestamp: 1656015022.2555003, Acceleration: [' 0.34', ' 0.13', ' 8.54'], Velocity: [' 0.03', ' 0.01', '-0.13'], Position: [' 0.06', ' 0.06', '-0.38'] 
Timestamp: 1656015022.3554993, Acceleration: ['-0.18', ' 0.10', ' 8.49'], Velocity: [' 0.02', ' 0.02', '-0.26'], Position: [' 0.06', ' 0.07', '-0.42'] 
Timestamp: 1656015022.4555242, Acceleration: [' 0.30', ' 0.18', ' 9.51'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.07', ' 0.07', '-0.45'] 
Timestamp: 1656015022.5554936, Acceleration: [' 0.33', ' 0.10', ' 8.80'], Velocity: [' 0.03', ' 0.01', '-0.10'], Position: [' 0.07', ' 0.07', '-0.46'] 
Timestamp: 1656015022.6555057, Acceleration: [' 0.08', ' 0.26', ' 8.60'], Velocity: [' 0.04', ' 0.04', '-0.22'], Position: [' 0.07', ' 0.08', '-0.49'] 
Timestamp: 1656015022.7555943, Acceleration: ['-0.18', '-0.03', ' 9.23'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.08', ' 0.08', '-0.52'] 
Timestamp: 1656015022.8555152, Acceleration: [' 0.29', ' 0.13', ' 9.58'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.08', ' 0.08', '-0.52'] 
Timestamp: 1656015022.9554946, Acceleration: [' 0.00', ' 0.22', ' 8.69'], Velocity: [' 0.00', ' 0.02', '-0.11'], Position: [' 0.08', ' 0.09', '-0.54'] 
Timestamp: 1656015023.0554972, Acceleration: [' 0.20', ' 0.19', ' 9.39'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.08', ' 0.09', '-0.56'] 
Timestamp: 1656015023.1555007, Acceleration: [' 0.42', ' 0.13', ' 9.31'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.09', ' 0.09', '-0.57'] 
Timestamp: 1656015023.2554948, Acceleration: [' 0.49', ' 0.33', ' 8.57'], Velocity: [' 0.05', ' 0.03', '-0.12'], Position: [' 0.10', ' 0.10', '-0.59'] 
Timestamp: 1656015023.3554943, Acceleration: ['-0.25', ' 0.12', ' 9.45'], Velocity: [' 0.02', ' 0.05', '-0.16'], Position: [' 0.10', ' 0.10', '-0.60'] 
Timestamp: 1656015023.4555705, Acceleration: [' 0.26', ' 0.10', ' 9.68'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.10', ' 0.11', '-0.62'] 
Timestamp: 1656015023.5555022, Acceleration: [' 0.11', ' 0.22', ' 8.86'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.11', ' 0.11', '-0.64'] 
Timestamp: 1656015023.655525, Acceleration: ['-0.02', ' 0.27', ' 8.97'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.11', ' 0.12', '-0.65'] 
Timestamp: 1656015023.7555943, Acceleration: ['-0.02', ' 0.10', ' 9.41'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.11', ' 0.12', '-0.65'] 
Timestamp: 1656015023.855682, Acceleration: [' 0.47', ' 0.18', ' 9.42'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.11', ' 0.12', '-0.66'] 
Timestamp: 1656015023.955484, Acceleration: ['-0.14', ' 0.12', ' 8.40'], Velocity: ['-0.01', ' 0.01', '-0.14'], Position: [' 0.11', ' 0.12', '-0.68'] 
Timestamp: 1656015024.0554955, Acceleration: ['-0.00', ' 0.11', ' 9.29'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.11', ' 0.13', '-0.70'] 
Timestamp: 1656015024.1555078, Acceleration: [' 0.13', ' 0.22', ' 9.09'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.11', ' 0.13', '-0.71'] 
Timestamp: 1656015024.25549, Acceleration: [' 0.08', ' 0.21', ' 8.76'], Velocity: [' 0.01', ' 0.02', '-0.10'], Position: [' 0.11', ' 0.13', '-0.73'] 
Timestamp: 1656015024.3554938, Acceleration: ['-0.03', ' 0.03', ' 9.35'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.11', ' 0.14', '-0.75'] 
Timestamp: 1656015024.4554694, Acceleration: [' 0.45', ' 0.17', ' 8.55'], Velocity: [' 0.04', ' 0.02', '-0.13'], Position: [' 0.12', ' 0.14', '-0.77'] 
Timestamp: 1656015024.5555778, Acceleration: ['-0.09', ' 0.13', ' 8.56'], Velocity: [' 0.04', ' 0.03', '-0.25'], Position: [' 0.12', ' 0.14', '-0.80'] 
Timestamp: 1656015024.655575, Acceleration: [' 0.08', ' 0.15', ' 9.42'], Velocity: [' 0.04', ' 0.04', '-0.29'], Position: [' 0.13', ' 0.15', '-0.83'] 
Timestamp: 1656015024.7555625, Acceleration: [' 0.15', ' 0.31', ' 9.14'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.13', ' 0.16', '-0.87'] 
Timestamp: 1656015024.8555298, Acceleration: [' 0.52', ' 0.36', ' 8.80'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.14', ' 0.16', '-0.88'] 
Timestamp: 1656015024.955486, Acceleration: [' 0.04', ' 0.20', ' 9.46'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.14', ' 0.16', '-0.89'] 
Timestamp: 1656015025.0554938, Acceleration: [' 0.48', ' 0.16', ' 9.57'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.15', ' 0.17', '-0.89'] 
Timestamp: 1656015025.1554852, Acceleration: ['-0.16', ' 0.07', ' 8.50'], Velocity: ['-0.02', ' 0.01', '-0.13'], Position: [' 0.15', ' 0.17', '-0.91'] 
Timestamp: 1656015025.2554896, Acceleration: [' 0.04', ' 0.15', ' 9.41'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.15', ' 0.17', '-0.93'] 
Timestamp: 1656015025.3554912, Acceleration: [' 0.10', ' 0.01', ' 9.02'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.15', ' 0.17', '-0.94'] 
Timestamp: 1656015025.4555824, Acceleration: [' 0.59', ' 0.31', ' 8.83'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.16', ' 0.18', '-0.96'] 
Timestamp: 1656015025.5554998, Acceleration: ['-0.04', ' 0.22', ' 8.60'], Velocity: ['-0.00', ' 0.02', '-0.12'], Position: [' 0.16', ' 0.18', '-0.97'] 
Timestamp: 1656015025.6555061, Acceleration: [' 0.46', ' 0.14', ' 9.55'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.16', ' 0.18', '-0.99'] 
Timestamp: 1656015025.755505, Acceleration: [' 0.08', ' 0.04', ' 8.63'], Velocity: [' 0.01', ' 0.00', '-0.12'], Position: [' 0.16', ' 0.18', '-1.01'] 
Timestamp: 1656015025.8554966, Acceleration: ['-0.14', ' 0.23', ' 9.22'], Velocity: ['-0.01', ' 0.03', '-0.18'], Position: [' 0.16', ' 0.19', '-1.03'] 
Timestamp: 1656015025.9557161, Acceleration: ['-0.03', ' 0.23', ' 9.47'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.16', ' 0.19', '-1.05'] 
Timestamp: 1656015026.055498, Acceleration: [' 0.64', ' 0.33', ' 9.50'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.17', ' 0.20', '-1.06'] 
Timestamp: 1656015026.155491, Acceleration: [' 0.01', ' 0.14', ' 8.49'], Velocity: [' 0.00', ' 0.01', '-0.13'], Position: [' 0.17', ' 0.20', '-1.08'] 
Timestamp: 1656015026.2554855, Acceleration: [' 0.19', ' 0.14', ' 9.44'], Velocity: [' 0.02', ' 0.03', '-0.17'], Position: [' 0.17', ' 0.20', '-1.09'] 
Timestamp: 1656015026.3555362, Acceleration: [' 0.15', ' 0.25', ' 9.04'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.18', ' 0.21', '-1.12'] 
Timestamp: 1656015026.4554935, Acceleration: [' 0.39', ' 0.26', ' 8.89'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.18', ' 0.21', '-1.14'] 
Timestamp: 1656015026.555504, Acceleration: ['-0.03', ' 0.33', ' 9.50'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.18', ' 0.22', '-1.14'] 
Timestamp: 1656015026.6555831, Acceleration: [' 0.57', ' 0.28', ' 9.65'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.19', ' 0.22', '-1.14'] 
Timestamp: 1656015026.7555597, Acceleration: [' 0.15', ' 0.19', ' 8.47'], Velocity: [' 0.02', ' 0.02', '-0.13'], Position: [' 0.19', ' 0.23', '-1.16'] 
