Timestamp: 1656015170.367145, Acceleration: ['-0.49', ' 0.01', '-10.51'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.03', ' 0.00', '-1.40'] 
Timestamp: 1656015170.3744664, Acceleration: [' 0.61', ' 0.66', '-10.70'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.03', ' 0.00', '-1.40'] 
Timestamp: 1656015170.3807936, Acceleration: [' 0.50', ' 0.55', '-9.80'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.03', ' 0.00', '-1.40'] 
Timestamp: 1656015170.391914, Acceleration: [' 0.73', ' 0.72', '-10.77'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.03', ' 0.00', '-1.41'] 
Timestamp: 1656015170.4006634, Acceleration: [' 0.73', ' 0.68', '-10.01'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.03', ' 0.00', '-1.41'] 
Timestamp: 1656015170.410538, Acceleration: [' 0.77', ' 0.69', '-10.67'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.03', ' 0.00', '-1.41'] 
Timestamp: 1656015170.4226484, Acceleration: [' 0.56', ' 0.66', '-9.48'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.03', ' 0.00', '-1.42'] 
Timestamp: 1656015170.4311416, Acceleration: [' 1.06', ' 0.58', '-10.60'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.03', ' 0.00', '-1.42'] 
Timestamp: 1656015170.4406986, Acceleration: [' 1.04', ' 0.50', '-9.70'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.03', ' 0.00', '-1.42'] 
Timestamp: 1656015170.450659, Acceleration: [' 0.45', ' 0.62', '-10.53'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.03', ' 0.00', '-1.42'] 
Timestamp: 1656015170.4632075, Acceleration: [' 0.70', ' 0.54', '-9.85'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.03', ' 0.00', '-1.43'] 
Timestamp: 1656015170.470499, Acceleration: [' 0.74', ' 0.49', '-10.23'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.03', ' 0.00', '-1.43'] 
Timestamp: 1656015170.48136, Acceleration: [' 0.79', ' 0.70', '-10.09'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.03', ' 0.00', '-1.43'] 
Timestamp: 1656015170.490519, Acceleration: [' 0.80', ' 0.60', '-10.21'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.03', ' 0.00', '-1.44'] 
Timestamp: 1656015170.5026007, Acceleration: [' 0.85', ' 0.70', '-10.50'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.03', ' 0.00', '-1.44'] 
Timestamp: 1656015170.5107803, Acceleration: [' 0.93', ' 0.59', '-9.85'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.03', ' 0.00', '-1.44'] 
