Timestamp: 1656016470.2935345, Acceleration: ['-0.28', '-0.95', '27.48'], Velocity: ['-0.06', '-0.21', ' 3.93'], Position: ['-0.02', '-0.07', ' 1.31'] 
Timestamp: 1656016470.3018408, Acceleration: [' 0.14', '-0.86', '27.17'], Velocity: ['-0.06', '-0.22', ' 4.08'], Position: ['-0.02', '-0.07', ' 1.35'] 
Timestamp: 1656016470.3120944, Acceleration: ['-0.47', '-0.69', '27.43'], Velocity: ['-0.07', '-0.23', ' 4.26'], Position: ['-0.02', '-0.08', ' 1.39'] 
Timestamp: 1656016470.3194103, Acceleration: ['-0.05', '-0.67', '27.15'], Velocity: ['-0.07', '-0.23', ' 4.39'], Position: ['-0.02', '-0.08', ' 1.43'] 
Timestamp: 1656016470.3273845, Acceleration: ['-0.07', '-0.75', '27.82'], Velocity: ['-0.07', '-0.24', ' 4.53'], Position: ['-0.02', '-0.08', ' 1.46'] 
Timestamp: 1656016470.336999, Acceleration: ['-0.23', '-0.78', '27.24'], Velocity: ['-0.07', '-0.25', ' 4.70'], Position: ['-0.02', '-0.08', ' 1.51'] 
Timestamp: 1656016470.3512542, Acceleration: ['-0.85', '-0.59', '27.94'], Velocity: ['-0.08', '-0.25', ' 4.96'], Position: ['-0.03', '-0.08', ' 1.58'] 
Timestamp: 1656016470.3578193, Acceleration: ['-0.49', '-0.49', '28.09'], Velocity: ['-0.09', '-0.26', ' 5.08'], Position: ['-0.03', '-0.09', ' 1.61'] 
Timestamp: 1656016470.3671956, Acceleration: ['-0.50', '-0.41', '28.23'], Velocity: ['-0.09', '-0.26', ' 5.25'], Position: ['-0.03', '-0.09', ' 1.66'] 
Timestamp: 1656016470.3853128, Acceleration: ['-1.00', '-0.61', '27.67'], Velocity: ['-0.11', '-0.27', ' 5.57'], Position: ['-0.03', '-0.09', ' 1.77'] 
Timestamp: 1656016470.3918924, Acceleration: [' 0.14', '-0.76', '27.93'], Velocity: ['-0.11', '-0.28', ' 5.69'], Position: ['-0.03', '-0.10', ' 1.81'] 
Timestamp: 1656016470.3985116, Acceleration: ['-0.36', '-0.88', '27.45'], Velocity: ['-0.11', '-0.28', ' 5.81'], Position: ['-0.03', '-0.10', ' 1.84'] 
Timestamp: 1656016470.4070687, Acceleration: ['-0.20', '-0.77', '27.49'], Velocity: ['-0.11', '-0.29', ' 5.96'], Position: ['-0.03', '-0.10', ' 1.90'] 
Timestamp: 1656016470.4170544, Acceleration: ['-0.04', '-0.63', '27.44'], Velocity: ['-0.11', '-0.30', ' 6.14'], Position: ['-0.03', '-0.10', ' 1.96'] 
Timestamp: 1656016470.4274592, Acceleration: ['-0.33', '-0.71', '27.93'], Velocity: ['-0.12', '-0.30', ' 6.32'], Position: ['-0.03', '-0.11', ' 2.03'] 
Timestamp: 1656016470.4369702, Acceleration: ['-0.41', '-0.63', '27.72'], Velocity: ['-0.12', '-0.31', ' 6.49'], Position: ['-0.03', '-0.11', ' 2.09'] 
Timestamp: 1656016470.4469767, Acceleration: ['-0.44', '-0.53', '27.45'], Velocity: ['-0.12', '-0.31', ' 6.67'], Position: ['-0.04', '-0.11', ' 2.16'] 
Timestamp: 1656016470.4573236, Acceleration: ['-0.96', '-0.62', '27.24'], Velocity: ['-0.13', '-0.32', ' 6.85'], Position: ['-0.04', '-0.12', ' 2.23'] 
Timestamp: 1656016470.4671576, Acceleration: ['-0.98', '-0.37', '28.07'], Velocity: ['-0.14', '-0.32', ' 7.03'], Position: ['-0.04', '-0.12', ' 2.30'] 
Timestamp: 1656016470.477037, Acceleration: ['-0.89', '-0.65', '28.29'], Velocity: ['-0.15', '-0.33', ' 7.21'], Position: ['-0.04', '-0.12', ' 2.37'] 
Timestamp: 1656016470.4891798, Acceleration: [' 0.03', '-0.28', '26.99'], Velocity: ['-0.15', '-0.33', ' 7.42'], Position: ['-0.04', '-0.13', ' 2.46'] 
Timestamp: 1656016470.4975069, Acceleration: ['-0.14', '-0.81', '27.00'], Velocity: ['-0.15', '-0.34', ' 7.56'], Position: ['-0.04', '-0.13', ' 2.52'] 
Timestamp: 1656016470.5070896, Acceleration: [' 0.05', '-0.49', '26.86'], Velocity: ['-0.15', '-0.35', ' 7.73'], Position: ['-0.04', '-0.13', ' 2.60'] 
Timestamp: 1656016470.5229611, Acceleration: ['-0.66', '-0.46', '26.94'], Velocity: ['-0.16', '-0.35', ' 8.00'], Position: ['-0.05', '-0.14', ' 2.73'] 
Timestamp: 1656016470.5297894, Acceleration: ['-1.27', '-0.41', '27.30'], Velocity: ['-0.17', '-0.36', ' 8.12'], Position: ['-0.05', '-0.14', ' 2.78'] 
Timestamp: 1656016470.5368433, Acceleration: ['-1.16', '-0.67', '28.10'], Velocity: ['-0.18', '-0.36', ' 8.25'], Position: ['-0.05', '-0.14', ' 2.84'] 
Timestamp: 1656016470.5470135, Acceleration: ['-1.17', '-0.36', '27.67'], Velocity: ['-0.19', '-0.36', ' 8.43'], Position: ['-0.05', '-0.15', ' 2.93'] 
Timestamp: 1656016470.55756, Acceleration: ['-0.98', '-0.55', '27.69'], Velocity: ['-0.20', '-0.37', ' 8.62'], Position: ['-0.05', '-0.15', ' 3.02'] 
Timestamp: 1656016470.56696, Acceleration: ['-0.82', '-0.52', '27.26'], Velocity: ['-0.21', '-0.37', ' 8.78'], Position: ['-0.06', '-0.15', ' 3.10'] 
Timestamp: 1656016470.5788667, Acceleration: ['-0.63', '-0.53', '27.80'], Velocity: ['-0.22', '-0.38', ' 9.00'], Position: ['-0.06', '-0.16', ' 3.21'] 
Timestamp: 1656016470.5868666, Acceleration: ['-0.40', '-0.76', '27.92'], Velocity: ['-0.22', '-0.39', ' 9.14'], Position: ['-0.06', '-0.16', ' 3.29'] 
Timestamp: 1656016470.597291, Acceleration: ['-0.37', '-0.58', '27.78'], Velocity: ['-0.22', '-0.39', ' 9.33'], Position: ['-0.06', '-0.17', ' 3.39'] 
Timestamp: 1656016470.6069992, Acceleration: ['-0.52', '-0.88', '27.29'], Velocity: ['-0.23', '-0.40', ' 9.50'], Position: ['-0.07', '-0.17', ' 3.48'] 
Timestamp: 1656016470.6172855, Acceleration: ['-0.93', '-0.34', '28.21'], Velocity: ['-0.24', '-0.40', ' 9.69'], Position: ['-0.07', '-0.17', ' 3.58'] 
Timestamp: 1656016470.6283417, Acceleration: ['-1.37', '-0.69', '27.43'], Velocity: ['-0.25', '-0.41', ' 9.88'], Position: ['-0.07', '-0.18', ' 3.69'] 
Timestamp: 1656016470.6372478, Acceleration: ['-1.43', '-0.21', '27.99'], Velocity: ['-0.27', '-0.41', '10.04'], Position: ['-0.07', '-0.18', ' 3.78'] 
Timestamp: 1656016470.647004, Acceleration: ['-1.11', '-0.67', '27.28'], Velocity: ['-0.28', '-0.42', '10.22'], Position: ['-0.08', '-0.19', ' 3.88'] 
Timestamp: 1656016470.6577227, Acceleration: ['-0.65', '-0.37', '27.45'], Velocity: ['-0.28', '-0.42', '10.40'], Position: ['-0.08', '-0.19', ' 3.99'] 
Timestamp: 1656016470.6672294, Acceleration: ['-0.42', '-0.82', '27.50'], Velocity: ['-0.29', '-0.43', '10.57'], Position: ['-0.08', '-0.20', ' 4.09'] 
Timestamp: 1656016470.6772513, Acceleration: ['-0.55', '-0.59', '27.54'], Velocity: ['-0.29', '-0.44', '10.75'], Position: ['-0.08', '-0.20', ' 4.20'] 
Timestamp: 1656016470.6876523, Acceleration: ['-0.73', '-0.78', '27.86'], Velocity: ['-0.30', '-0.45', '10.94'], Position: ['-0.09', '-0.20', ' 4.32'] 
Timestamp: 1656016470.697599, Acceleration: ['-0.73', '-0.81', '27.23'], Velocity: ['-0.31', '-0.45', '11.11'], Position: ['-0.09', '-0.21', ' 4.43'] 
Timestamp: 1656016470.7072537, Acceleration: ['-1.19', '-0.63', '27.93'], Velocity: ['-0.32', '-0.46', '11.29'], Position: ['-0.09', '-0.21', ' 4.54'] 
Timestamp: 1656016470.7195013, Acceleration: ['-1.43', '-0.58', '27.43'], Velocity: ['-0.34', '-0.47', '11.50'], Position: ['-0.10', '-0.22', ' 4.68'] 
Timestamp: 1656016470.7270856, Acceleration: ['-1.51', '-0.29', '28.16'], Velocity: ['-0.35', '-0.47', '11.64'], Position: ['-0.10', '-0.22', ' 4.77'] 
Timestamp: 1656016470.7370188, Acceleration: ['-1.27', '-0.53', '27.28'], Velocity: ['-0.36', '-0.48', '11.81'], Position: ['-0.10', '-0.23', ' 4.89'] 
Timestamp: 1656016470.7480536, Acceleration: ['-0.77', '-0.25', '27.65'], Velocity: ['-0.37', '-0.48', '12.01'], Position: ['-0.11', '-0.23', ' 5.02'] 
Timestamp: 1656016470.7572272, Acceleration: ['-0.40', '-0.87', '27.10'], Velocity: ['-0.37', '-0.49', '12.17'], Position: ['-0.11', '-0.24', ' 5.13'] 
Timestamp: 1656016470.7670145, Acceleration: ['-0.52', '-0.50', '27.84'], Velocity: ['-0.38', '-0.49', '12.35'], Position: ['-0.12', '-0.24', ' 5.26'] 
Timestamp: 1656016470.776914, Acceleration: ['-0.90', '-0.96', '27.70'], Velocity: ['-0.39', '-0.50', '12.52'], Position: ['-0.12', '-0.25', ' 5.38'] 
Timestamp: 1656016470.7871752, Acceleration: ['-1.34', '-0.49', '27.88'], Velocity: ['-0.40', '-0.51', '12.71'], Position: ['-0.12', '-0.25', ' 5.51'] 
Timestamp: 1656016470.797163, Acceleration: ['-1.45', '-0.84', '27.65'], Velocity: ['-0.42', '-0.51', '12.89'], Position: ['-0.13', '-0.26', ' 5.64'] 
Timestamp: 1656016470.8070474, Acceleration: ['-1.36', '-0.45', '27.56'], Velocity: ['-0.43', '-0.52', '13.06'], Position: ['-0.13', '-0.26', ' 5.77'] 
Timestamp: 1656016470.8173552, Acceleration: ['-1.46', '-0.45', '27.95'], Velocity: ['-0.44', '-0.52', '13.25'], Position: ['-0.14', '-0.27', ' 5.91'] 
Timestamp: 1656016470.8271618, Acceleration: ['-1.30', '-0.55', '27.28'], Velocity: ['-0.46', '-0.53', '13.42'], Position: ['-0.14', '-0.27', ' 6.04'] 
Timestamp: 1656016470.837496, Acceleration: ['-0.66', '-0.75', '27.06'], Velocity: ['-0.46', '-0.54', '13.60'], Position: ['-0.15', '-0.28', ' 6.18'] 
Timestamp: 1656016470.8470812, Acceleration: ['-0.66', '-0.94', '26.84'], Velocity: ['-0.47', '-0.55', '13.76'], Position: ['-0.15', '-0.28', ' 6.32'] 
Timestamp: 1656016470.8569996, Acceleration: ['-0.63', '-0.67', '27.77'], Velocity: ['-0.48', '-0.55', '13.94'], Position: ['-0.16', '-0.29', ' 6.45'] 
Timestamp: 1656016470.8668723, Acceleration: ['-0.82', '-1.02', '27.26'], Velocity: ['-0.48', '-0.56', '14.11'], Position: ['-0.16', '-0.30', ' 6.59'] 
Timestamp: 1656016470.8793802, Acceleration: ['-1.78', '-0.25', '27.61'], Velocity: ['-0.51', '-0.56', '14.34'], Position: ['-0.17', '-0.30', ' 6.78'] 
Timestamp: 1656016470.8889177, Acceleration: ['-1.59', '-0.51', '27.51'], Velocity: ['-0.52', '-0.57', '14.50'], Position: ['-0.17', '-0.31', ' 6.91'] 
