Timestamp: 1656016702.0684614, Acceleration: [' 0.05', '-0.01', ' 7.66'], Velocity: [' 0.01', '-0.00', '-0.47'], Position: [' 0.00', '-0.00', '-0.15'] 
Timestamp: 1656016702.0769281, Acceleration: [' 0.13', ' 0.11', ' 7.45'], Velocity: [' 0.01', '-0.00', '-0.49'], Position: [' 0.00', '-0.00', '-0.16'] 
Timestamp: 1656016702.0845256, Acceleration: [' 0.07', '-0.05', ' 7.67'], Velocity: [' 0.01', '-0.00', '-0.51'], Position: [' 0.00', '-0.00', '-0.16'] 
Timestamp: 1656016702.0953374, Acceleration: [' 0.14', ' 0.08', ' 7.31'], Velocity: [' 0.01', '-0.00', '-0.53'], Position: [' 0.00', '-0.00', '-0.17'] 
Timestamp: 1656016702.1022303, Acceleration: [' 0.00', '-0.09', ' 7.55'], Velocity: [' 0.01', '-0.00', '-0.55'], Position: [' 0.00', '-0.00', '-0.17'] 
Timestamp: 1656016702.1125724, Acceleration: ['-0.01', '-0.09', ' 7.38'], Velocity: [' 0.01', '-0.00', '-0.57'], Position: [' 0.00', '-0.00', '-0.18'] 
Timestamp: 1656016702.1217318, Acceleration: ['-0.16', ' 0.07', ' 7.43'], Velocity: [' 0.01', '-0.00', '-0.60'], Position: [' 0.00', '-0.00', '-0.18'] 
Timestamp: 1656016702.134154, Acceleration: [' 0.23', ' 0.04', ' 7.47'], Velocity: [' 0.01', '-0.00', '-0.62'], Position: [' 0.00', '-0.00', '-0.19'] 
Timestamp: 1656016702.1430693, Acceleration: [' 0.32', '-0.01', ' 7.49'], Velocity: [' 0.02', '-0.00', '-0.65'], Position: [' 0.00', '-0.00', '-0.20'] 
Timestamp: 1656016702.1521037, Acceleration: [' 0.22', '-0.15', ' 7.47'], Velocity: [' 0.02', '-0.00', '-0.67'], Position: [' 0.00', '-0.00', '-0.20'] 
Timestamp: 1656016702.1627605, Acceleration: [' 0.25', '-0.08', ' 7.71'], Velocity: [' 0.02', '-0.00', '-0.69'], Position: [' 0.00', '-0.00', '-0.21'] 
Timestamp: 1656016702.1717105, Acceleration: [' 0.22', '-0.07', ' 7.52'], Velocity: [' 0.02', '-0.00', '-0.71'], Position: [' 0.00', '-0.00', '-0.22'] 
Timestamp: 1656016702.1819932, Acceleration: [' 0.05', ' 0.10', ' 7.54'], Velocity: [' 0.02', '-0.00', '-0.73'], Position: [' 0.01', '-0.00', '-0.23'] 
Timestamp: 1656016702.1917403, Acceleration: [' 0.01', '-0.10', ' 7.50'], Velocity: [' 0.02', '-0.00', '-0.76'], Position: [' 0.01', '-0.00', '-0.23'] 
Timestamp: 1656016702.201692, Acceleration: [' 0.11', ' 0.09', ' 7.51'], Velocity: [' 0.03', '-0.00', '-0.78'], Position: [' 0.01', '-0.00', '-0.24'] 
Timestamp: 1656016702.2123253, Acceleration: [' 0.13', '-0.02', ' 7.37'], Velocity: [' 0.03', '-0.00', '-0.80'], Position: [' 0.01', '-0.00', '-0.25'] 
Timestamp: 1656016702.2218258, Acceleration: [' 0.12', '-0.11', ' 7.46'], Velocity: [' 0.03', '-0.01', '-0.83'], Position: [' 0.01', '-0.00', '-0.26'] 
Timestamp: 1656016702.2316744, Acceleration: [' 0.24', '-0.09', ' 7.46'], Velocity: [' 0.03', '-0.01', '-0.85'], Position: [' 0.01', '-0.00', '-0.27'] 
Timestamp: 1656016702.2421424, Acceleration: [' 0.27', '-0.03', ' 7.55'], Velocity: [' 0.03', '-0.01', '-0.87'], Position: [' 0.01', '-0.00', '-0.28'] 
Timestamp: 1656016702.2518024, Acceleration: [' 0.16', '-0.01', ' 7.46'], Velocity: [' 0.03', '-0.01', '-0.90'], Position: [' 0.01', '-0.00', '-0.28'] 
Timestamp: 1656016702.2616205, Acceleration: ['-0.13', '-0.03', ' 7.46'], Velocity: [' 0.03', '-0.01', '-0.92'], Position: [' 0.01', '-0.00', '-0.29'] 
Timestamp: 1656016702.2721121, Acceleration: ['-0.00', ' 0.01', ' 7.59'], Velocity: [' 0.03', '-0.01', '-0.94'], Position: [' 0.01', '-0.00', '-0.30'] 
Timestamp: 1656016702.2818267, Acceleration: [' 0.26', '-0.06', ' 7.32'], Velocity: [' 0.04', '-0.01', '-0.97'], Position: [' 0.01', '-0.00', '-0.31'] 
Timestamp: 1656016702.291969, Acceleration: [' 0.16', '-0.04', ' 7.51'], Velocity: [' 0.04', '-0.01', '-0.99'], Position: [' 0.01', '-0.00', '-0.32'] 
Timestamp: 1656016702.3020692, Acceleration: [' 0.23', '-0.13', ' 7.65'], Velocity: [' 0.04', '-0.01', '-1.01'], Position: [' 0.01', '-0.00', '-0.33'] 
Timestamp: 1656016702.3119943, Acceleration: [' 0.09', ' 0.03', ' 7.40'], Velocity: [' 0.04', '-0.01', '-1.04'], Position: [' 0.01', '-0.00', '-0.34'] 
Timestamp: 1656016702.3219984, Acceleration: [' 0.23', '-0.09', ' 7.57'], Velocity: [' 0.04', '-0.01', '-1.06'], Position: [' 0.01', '-0.00', '-0.35'] 
Timestamp: 1656016702.3318894, Acceleration: [' 0.09', ' 0.08', ' 7.52'], Velocity: [' 0.04', '-0.01', '-1.08'], Position: [' 0.01', '-0.00', '-0.36'] 
Timestamp: 1656016702.3423455, Acceleration: [' 0.15', '-0.12', ' 7.66'], Velocity: [' 0.05', '-0.01', '-1.10'], Position: [' 0.01', '-0.00', '-0.38'] 
Timestamp: 1656016702.3520012, Acceleration: [' 0.04', '-0.01', ' 7.55'], Velocity: [' 0.05', '-0.01', '-1.13'], Position: [' 0.01', '-0.00', '-0.39'] 
Timestamp: 1656016702.361685, Acceleration: [' 0.16', '-0.11', ' 7.44'], Velocity: [' 0.05', '-0.01', '-1.15'], Position: [' 0.01', '-0.00', '-0.40'] 
Timestamp: 1656016702.3728435, Acceleration: [' 0.30', '-0.09', ' 7.51'], Velocity: [' 0.05', '-0.01', '-1.17'], Position: [' 0.01', '-0.00', '-0.41'] 
Timestamp: 1656016702.3816283, Acceleration: [' 0.26', '-0.07', ' 7.32'], Velocity: [' 0.05', '-0.01', '-1.20'], Position: [' 0.01', '-0.00', '-0.42'] 
Timestamp: 1656016702.3916495, Acceleration: [' 0.24', ' 0.03', ' 7.55'], Velocity: [' 0.06', '-0.01', '-1.22'], Position: [' 0.01', '-0.00', '-0.43'] 
Timestamp: 1656016702.401851, Acceleration: [' 0.12', '-0.01', ' 7.53'], Velocity: [' 0.06', '-0.01', '-1.24'], Position: [' 0.01', '-0.00', '-0.45'] 
Timestamp: 1656016702.4118025, Acceleration: [' 0.02', ' 0.03', ' 7.51'], Velocity: [' 0.06', '-0.01', '-1.26'], Position: [' 0.01', '-0.00', '-0.46'] 
Timestamp: 1656016702.4216263, Acceleration: [' 0.15', '-0.04', ' 7.49'], Velocity: [' 0.06', '-0.01', '-1.29'], Position: [' 0.02', '-0.00', '-0.47'] 
Timestamp: 1656016702.4321449, Acceleration: [' 0.03', ' 0.03', ' 7.51'], Velocity: [' 0.06', '-0.01', '-1.31'], Position: [' 0.02', '-0.00', '-0.49'] 
Timestamp: 1656016702.4417028, Acceleration: [' 0.24', '-0.06', ' 7.55'], Velocity: [' 0.06', '-0.01', '-1.33'], Position: [' 0.02', '-0.00', '-0.50'] 
Timestamp: 1656016702.4522963, Acceleration: [' 0.15', '-0.02', ' 7.63'], Velocity: [' 0.06', '-0.01', '-1.36'], Position: [' 0.02', '-0.00', '-0.51'] 
Timestamp: 1656016702.4631248, Acceleration: [' 0.10', ' 0.12', ' 7.42'], Velocity: [' 0.06', '-0.01', '-1.38'], Position: [' 0.02', '-0.00', '-0.53'] 
Timestamp: 1656016702.4731035, Acceleration: [' 0.21', '-0.13', ' 7.45'], Velocity: [' 0.07', '-0.01', '-1.41'], Position: [' 0.02', '-0.00', '-0.54'] 
Timestamp: 1656016702.4817364, Acceleration: [' 0.24', '-0.05', ' 7.43'], Velocity: [' 0.07', '-0.01', '-1.43'], Position: [' 0.02', '-0.00', '-0.56'] 
Timestamp: 1656016702.494007, Acceleration: [' 0.15', '-0.11', ' 7.60'], Velocity: [' 0.07', '-0.01', '-1.45'], Position: [' 0.02', '-0.00', '-0.57'] 
Timestamp: 1656016702.5025668, Acceleration: [' 0.06', '-0.02', ' 7.58'], Velocity: [' 0.07', '-0.02', '-1.47'], Position: [' 0.02', '-0.00', '-0.59'] 
Timestamp: 1656016702.5116193, Acceleration: ['-0.04', '-0.01', ' 7.50'], Velocity: [' 0.07', '-0.02', '-1.49'], Position: [' 0.02', '-0.00', '-0.60'] 
Timestamp: 1656016702.5219357, Acceleration: [' 0.17', '-0.12', ' 7.39'], Velocity: [' 0.07', '-0.02', '-1.52'], Position: [' 0.02', '-0.00', '-0.62'] 
Timestamp: 1656016702.5318806, Acceleration: [' 0.13', ' 0.08', ' 7.46'], Velocity: [' 0.07', '-0.02', '-1.54'], Position: [' 0.02', '-0.01', '-0.63'] 
Timestamp: 1656016702.5419157, Acceleration: [' 0.36', '-0.01', ' 7.56'], Velocity: [' 0.08', '-0.02', '-1.56'], Position: [' 0.02', '-0.01', '-0.65'] 
Timestamp: 1656016702.551661, Acceleration: [' 0.20', ' 0.01', ' 7.49'], Velocity: [' 0.08', '-0.02', '-1.59'], Position: [' 0.02', '-0.01', '-0.66'] 
Timestamp: 1656016702.5621016, Acceleration: [' 0.14', '-0.15', ' 7.52'], Velocity: [' 0.08', '-0.02', '-1.61'], Position: [' 0.03', '-0.01', '-0.68'] 
Timestamp: 1656016702.5727086, Acceleration: [' 0.11', '-0.13', ' 7.53'], Velocity: [' 0.08', '-0.02', '-1.63'], Position: [' 0.03', '-0.01', '-0.70'] 
Timestamp: 1656016702.581703, Acceleration: [' 0.20', '-0.10', ' 7.40'], Velocity: [' 0.08', '-0.02', '-1.66'], Position: [' 0.03', '-0.01', '-0.71'] 
Timestamp: 1656016702.5930073, Acceleration: [' 0.10', ' 0.09', ' 7.45'], Velocity: [' 0.08', '-0.02', '-1.68'], Position: [' 0.03', '-0.01', '-0.73'] 
Timestamp: 1656016702.6019278, Acceleration: [' 0.21', '-0.01', ' 7.53'], Velocity: [' 0.09', '-0.02', '-1.70'], Position: [' 0.03', '-0.01', '-0.75'] 
Timestamp: 1656016702.6122646, Acceleration: [' 0.05', '-0.11', ' 7.50'], Velocity: [' 0.09', '-0.02', '-1.73'], Position: [' 0.03', '-0.01', '-0.76'] 
Timestamp: 1656016702.6218793, Acceleration: [' 0.19', '-0.09', ' 7.40'], Velocity: [' 0.09', '-0.02', '-1.75'], Position: [' 0.03', '-0.01', '-0.78'] 
Timestamp: 1656016702.6324227, Acceleration: [' 0.01', ' 0.13', ' 7.48'], Velocity: [' 0.09', '-0.02', '-1.77'], Position: [' 0.03', '-0.01', '-0.80'] 
Timestamp: 1656016702.6419663, Acceleration: [' 0.39', '-0.12', ' 7.49'], Velocity: [' 0.09', '-0.02', '-1.80'], Position: [' 0.03', '-0.01', '-0.82'] 
Timestamp: 1656016702.6522045, Acceleration: [' 0.10', '-0.07', ' 7.64'], Velocity: [' 0.09', '-0.02', '-1.82'], Position: [' 0.03', '-0.01', '-0.84'] 
Timestamp: 1656016702.6622324, Acceleration: [' 0.10', '-0.15', ' 7.58'], Velocity: [' 0.09', '-0.02', '-1.84'], Position: [' 0.03', '-0.01', '-0.86'] 
Timestamp: 1656016702.671859, Acceleration: [' 0.03', '-0.10', ' 7.65'], Velocity: [' 0.09', '-0.02', '-1.86'], Position: [' 0.03', '-0.01', '-0.87'] 
Timestamp: 1656016702.6819541, Acceleration: [' 0.15', '-0.12', ' 7.56'], Velocity: [' 0.10', '-0.02', '-1.89'], Position: [' 0.04', '-0.01', '-0.89'] 
Timestamp: 1656016702.692163, Acceleration: [' 0.16', '-0.08', ' 7.49'], Velocity: [' 0.10', '-0.03', '-1.91'], Position: [' 0.04', '-0.01', '-0.91'] 
Timestamp: 1656016702.7017188, Acceleration: [' 0.24', '-0.12', ' 7.50'], Velocity: [' 0.10', '-0.03', '-1.93'], Position: [' 0.04', '-0.01', '-0.93'] 
Timestamp: 1656016702.7116606, Acceleration: [' 0.02', ' 0.13', ' 7.66'], Velocity: [' 0.10', '-0.03', '-1.95'], Position: [' 0.04', '-0.01', '-0.95'] 
Timestamp: 1656016702.7218995, Acceleration: [' 0.21', '-0.10', ' 7.55'], Velocity: [' 0.10', '-0.03', '-1.98'], Position: [' 0.04', '-0.01', '-0.97'] 
Timestamp: 1656016702.7319155, Acceleration: [' 0.04', '-0.08', ' 7.46'], Velocity: [' 0.10', '-0.03', '-2.00'], Position: [' 0.04', '-0.01', '-0.99'] 
Timestamp: 1656016702.74172, Acceleration: [' 0.23', '-0.06', ' 7.48'], Velocity: [' 0.10', '-0.03', '-2.02'], Position: [' 0.04', '-0.01', '-1.01'] 
Timestamp: 1656016702.7518868, Acceleration: [' 0.04', '-0.08', ' 7.66'], Velocity: [' 0.11', '-0.03', '-2.04'], Position: [' 0.04', '-0.01', '-1.03'] 
Timestamp: 1656016702.761746, Acceleration: [' 0.06', '-0.03', ' 7.42'], Velocity: [' 0.11', '-0.03', '-2.07'], Position: [' 0.04', '-0.01', '-1.05'] 
Timestamp: 1656016702.7716744, Acceleration: [' 0.07', '-0.05', ' 7.53'], Velocity: [' 0.11', '-0.03', '-2.09'], Position: [' 0.05', '-0.01', '-1.07'] 
Timestamp: 1656016702.7822914, Acceleration: [' 0.43', '-0.13', ' 7.43'], Velocity: [' 0.11', '-0.03', '-2.11'], Position: [' 0.05', '-0.01', '-1.10'] 
Timestamp: 1656016702.7924664, Acceleration: [' 0.33', '-0.12', ' 7.49'], Velocity: [' 0.11', '-0.03', '-2.14'], Position: [' 0.05', '-0.01', '-1.12'] 
Timestamp: 1656016702.8019967, Acceleration: ['-0.04', ' 0.08', ' 7.47'], Velocity: [' 0.11', '-0.03', '-2.16'], Position: [' 0.05', '-0.01', '-1.14'] 
Timestamp: 1656016702.8121433, Acceleration: [' 0.12', '-0.02', ' 7.44'], Velocity: [' 0.12', '-0.03', '-2.18'], Position: [' 0.05', '-0.01', '-1.16'] 
Timestamp: 1656016702.8221397, Acceleration: [' 0.04', '-0.00', ' 7.45'], Velocity: [' 0.12', '-0.03', '-2.21'], Position: [' 0.05', '-0.01', '-1.18'] 
Timestamp: 1656016702.8319864, Acceleration: [' 0.19', '-0.04', ' 7.46'], Velocity: [' 0.12', '-0.03', '-2.23'], Position: [' 0.05', '-0.01', '-1.20'] 
Timestamp: 1656016702.8419616, Acceleration: [' 0.15', '-0.06', ' 7.56'], Velocity: [' 0.12', '-0.03', '-2.25'], Position: [' 0.05', '-0.01', '-1.23'] 
Timestamp: 1656016702.85212, Acceleration: [' 0.23', '-0.11', ' 7.48'], Velocity: [' 0.12', '-0.03', '-2.28'], Position: [' 0.05', '-0.01', '-1.25'] 
Timestamp: 1656016702.8618789, Acceleration: [' 0.08', '-0.07', ' 7.59'], Velocity: [' 0.12', '-0.03', '-2.30'], Position: [' 0.06', '-0.01', '-1.27'] 
Timestamp: 1656016702.8717713, Acceleration: [' 0.17', '-0.05', ' 7.54'], Velocity: [' 0.12', '-0.03', '-2.32'], Position: [' 0.06', '-0.01', '-1.30'] 
Timestamp: 1656016702.8821547, Acceleration: [' 0.06', ' 0.02', ' 7.44'], Velocity: [' 0.12', '-0.03', '-2.35'], Position: [' 0.06', '-0.01', '-1.32'] 
Timestamp: 1656016702.8917522, Acceleration: [' 0.18', ' 0.00', ' 7.57'], Velocity: [' 0.13', '-0.03', '-2.37'], Position: [' 0.06', '-0.01', '-1.34'] 
Timestamp: 1656016702.9017115, Acceleration: ['-0.01', '-0.03', ' 7.54'], Velocity: [' 0.13', '-0.03', '-2.39'], Position: [' 0.06', '-0.01', '-1.37'] 
Timestamp: 1656016702.9120758, Acceleration: [' 0.17', '-0.11', ' 7.41'], Velocity: [' 0.13', '-0.04', '-2.42'], Position: [' 0.06', '-0.02', '-1.39'] 
Timestamp: 1656016702.9218318, Acceleration: [' 0.13', '-0.07', ' 7.56'], Velocity: [' 0.13', '-0.04', '-2.44'], Position: [' 0.06', '-0.02', '-1.42'] 
Timestamp: 1656016702.9316843, Acceleration: [' 0.25', '-0.06', ' 7.47'], Velocity: [' 0.13', '-0.04', '-2.46'], Position: [' 0.06', '-0.02', '-1.44'] 
Timestamp: 1656016702.941987, Acceleration: [' 0.13', ' 0.05', ' 7.48'], Velocity: [' 0.13', '-0.04', '-2.48'], Position: [' 0.07', '-0.02', '-1.47'] 
Timestamp: 1656016702.9518046, Acceleration: [' 0.16', '-0.05', ' 7.45'], Velocity: [' 0.13', '-0.04', '-2.51'], Position: [' 0.07', '-0.02', '-1.49'] 
Timestamp: 1656016702.9628556, Acceleration: [' 0.07', '-0.07', ' 7.54'], Velocity: [' 0.14', '-0.04', '-2.53'], Position: [' 0.07', '-0.02', '-1.52'] 
Timestamp: 1656016702.972033, Acceleration: [' 0.11', '-0.02', ' 7.46'], Velocity: [' 0.14', '-0.04', '-2.55'], Position: [' 0.07', '-0.02', '-1.54'] 
Timestamp: 1656016702.982224, Acceleration: [' 0.10', '-0.00', ' 7.57'], Velocity: [' 0.14', '-0.04', '-2.58'], Position: [' 0.07', '-0.02', '-1.57'] 
Timestamp: 1656016702.9922416, Acceleration: [' 0.15', '-0.06', ' 7.42'], Velocity: [' 0.14', '-0.04', '-2.60'], Position: [' 0.07', '-0.02', '-1.60'] 
Timestamp: 1656016703.0019906, Acceleration: [' 0.12', '-0.09', ' 7.60'], Velocity: [' 0.14', '-0.04', '-2.62'], Position: [' 0.07', '-0.02', '-1.62'] 
Timestamp: 1656016703.0121381, Acceleration: [' 0.24', '-0.11', ' 7.50'], Velocity: [' 0.14', '-0.04', '-2.65'], Position: [' 0.08', '-0.02', '-1.65'] 
Timestamp: 1656016703.0216894, Acceleration: [' 0.20', '-0.01', ' 7.63'], Velocity: [' 0.14', '-0.04', '-2.67'], Position: [' 0.08', '-0.02', '-1.67'] 
Timestamp: 1656016703.0316956, Acceleration: [' 0.16', '-0.05', ' 7.32'], Velocity: [' 0.15', '-0.04', '-2.69'], Position: [' 0.08', '-0.02', '-1.70'] 
Timestamp: 1656016703.042134, Acceleration: [' 0.03', '-0.01', ' 7.49'], Velocity: [' 0.15', '-0.04', '-2.72'], Position: [' 0.08', '-0.02', '-1.73'] 
